startphrase,ending1,ending2,correct_label
The boy had the courage of a guinea pig.,The boy is brave.,The boy is not brave.,1
Her eyes were warm soup on a winter day.,Her eyes made him feel uncomfortable.,Her eyes were comforting.,1
The gambling at the casino had all the excitement of A fast-paced football game,The gambling at the casino was boring,The gambling was exciting and entertaining,1
That boy has the sense of a rock.,The boy is stupid.,The boy is a genius.,0
She wore the dress like a potato sack.,Her dress was not flattering.,Her dress was beautiful.,0
The girl treats her friends like Prada,The girl treasures her friends.,The girl treats her friends poorly.,0
His temper was a tempest.,He had a terrible temper.,He didn't really have a temper.,0
That job was an everyday knife in my eye.,The job was terrible.,The job was fun.,0
The comedian's jokes were about as awful as a winning lotto ticket,the jokes were great,the jokes were bad,0
The dress was as pretty as a dead roach,the dress was good looking,the dress was ugly,1
His mother gave him the respect of a king,His mothe respected him,His mother disrespected him,0
The bowl is a durable baby turtle,The bowl is very durable,The bowl is fragile,1
She had the anger of a nap,She was an angry person.,She was an evenhanded person.,1
The list was long like a pen tip.,The list was long.,The list was short.,1
The plot of the show is as clear as crystal.,The plot of the show isn't clear at all.,The plot of the show is very clear.,1
The building was as big as a molehill,The building was big,The building was small,1
That storage closet has the space of a mousehole filled with rats,There's a lot of room,There's barely any room at all,1
The flea medication is an unplugged coffee maker.,The flea medication is ineffective.,The flea medication is efficacious.,0
Each link was the size of an ant,Each link was huge,Each link was tiny,1
He writes like the village idiot,He writes well,He writes badly,1
The table had the age of a toddler,The table was old,The table was young,1
Raising a teenager is playing craps against a table with rigged dice,Raising a teenager is fraught with impossible risks,Raising a teenager is a pleasant surprise,0
Raising a puppy is doing laps in a warm pool,Raising a puppy is really tough.,Raising a puppy is pleasant and easy.,1
Owning a cat is an extended visit by your favorite aunt,Owning a cat is not pleasant.,Owning a cat is quite sweet.,1
My professor is a great story teller.,My professor's lecture is so boring that it puts me to sleep.,My professor's lecture is so interesting that makes me keep wanting to listen to her.,1
The hyperlink has the functionality of a brand new car,The hyperlink functions perfectly,The hyperlink doesn't work,0
The classroom sounded like a dog pound,The classroom was noisy.,The classroom was quiet.,0
Her dress was the colors of antique book pages,Her dress was dully colored.,Her dress was brightly colored.,0
The sadness of her death was a planet,The sadness was large,The sadness was small,0
Comedy is a rainstorm,Comedy is good,Comedy is bad,1
The disease has the seriousness of The common cold,The disease is not serious,The disease is very serious,0
He is enthusiastic as a sleeping rat,he is excited,he is tired,1
Her voice had the melody of a dying crow,Her voice was beautiful,Her voice was ugly,1
The girl's temperament is a balloon,The girl is easily provoked.,The girl has a steady temperament.,0
The car was as fast as a turtle,The car was fast,The car was slow,1
The roach was as frantic as a sleeping baby,it was going crazy,it was calm,1
The girl lies as much as Jesus,The girl lies all the time.,The girl never lies.,1
The girl's personality is flat soda,The girl has a boring personality.,The girl has a bubbly personality.,0
The sculpture has the fragility of a cannon made of gladd,It's likely to break,It's practically unbreakable,0
The football player was a dancer.,The football player was clumsy.,The football player was careful.,1
The NHL player was a woodpecker.,The NHL player was sloppy.,The NHL player was careful.,0
Reading the comic was exciting as homework,Reading the comic was very exciting,Reading the comic was very boring,1
He was as energized as a light bulb.,He was very energized.,He wasn't energized at all.,0
The contract was as long as the Bible,The contract was very lengthy.,The contract was very short.,0
The musician plays like as good as A gerbil,He plays badly,He plays well,0
The student was as ashamed as a dog that found a bone,he was proud,he was embarrassed,0
So many responsibilities had Joe about as hungry as a whale,Joe was very hungry because of his responsibilities,Joe was not very hungry because he had so much to do,0
The family was as rich as a pile of dirt,The family was very rich,The family was very poor,1
The spa has the charm of a stink bug.,The spa lacks amenities.,The spa is enjoyable.,0
The football player has the agility of a mountain goat.,The football player is a klutz.,The football player is lithe.,1
The cake is as moist as the surface of Mercury,It's very moist,It's incredibly dry,1
The government plan is as expensive as penny candy,it is a lot,it is cheap,1
To defeat the dark lord would be to topple a child's blocks.,Defeating the dark lord would be very difficult.,Defeating the dark lord would be very easy.,1
He dove with all the grace of an Olympic swimmer,He dove well.,"He dove poorly, and sank as he hit the water.",0
The Christmas tree is as bright as nightlight in the middle of the day,It's very bright.,It's quite dim.,1
The weightlifter has the strength of an eyelash.,The weightlifter is weak.,The weightlifter is powerful.,0
The math test was as straightforward as assembling a PBJ sandwich,The math test was straightforward.,The math test was complicated.,0
The pot roast was as tender as a boulder encased in concrete.,The pot roast is very tender.,The pot roast in not tender at all.,1
It was built like a castle,It was durable.,It was flimsy.,0
He has the belly of a bloated whale carcass,His belly is large,He has a tiny belly,0
The doctor was as gentle as a boxer,he was nice,he was mean,1
He awoke from sleeping like a man drifting out to sea,He awoke suddenly,He awoke slowly,1
Her eyes reflected a sparkle like that of a roach,Her eyes were bright and shiny,Her eyes were blank,1
The man was as dangerous as a kitten.,The man was deadly.,The man was totally harmless.,1
The new linebacker is as solid as water,The linebacker is tough and can hold his ground.,The linebacker is weak and people can run right through him.,1
This man is as brave as a house kitten,the man is timid,the man is courageous,0
That light is as bright as the sun,the light is shiny,the light is dim,0
The bath was as hot as the ocean,The bath was very hot,The bath was not hot,1
He had all the style of a secondhand leisure suit.,He is very stylish and hip.,He's very OUT of style.,1
The poem was as romantic as a love-letter.,The poem was very sweet and romantic.,The poem wasn't romantic at all.,0
His style is so solar flare,His style is so hot right now.,His style is so old-fashioned.,0
This football game is like a blue starfish.,This football game is full of action.,This football game is moving slowly.,1
The boy's style is as current as a boomer's myspace home page.,His style is out of date.,His style is up to date.,0
He feels the love of the devil to everything good,He feels a lot of love,He feels little love,1
The rat has the speed of an upside down giraffe,The rat is very fast,The rat is very slow,1
The flowers have the scent of a garbage fire on a hot summer night,The flowers have a good scent,The flowers have an awful scent,1
Love is rain on your beach vacation,Love is awesome,Love is terrible,1
Her morals were soggy cereal,Her morals were flexible,Her morals were inflexible,0
This party has the electricity of a burned out light bulb,The party is popping,The party is boring.,1
He entered the room with all the subtlety of an elephant,He entered quietly,He entered loudly,1
"In the sunlight, her hair was woven gold",Her hair was red.,Her hair was blonde.,1
The cop got the suspect to confess after applying the pressure of a feather,The cop used a lot of pressure.,The cop used little pressure.,1
The singer had the tone of a squawking crow,The singer sounded good.,The singer sounded bad.,1
As poor as a Kardashian,You have no money,You are rich,1
The cat's tail moved with the rhythm of wheat swaying in the breeze,The cat's tail was fast,The cat's tail was slow,1
The sisters were ribbons and bows.,The sisters got along together.,The sisters did not mix well with each other.,0
His love was a many forked road.,His love was spread to many.,His love was straight and true.,0
My life is a circus and I am the ringleader.,I am a freak,I control my life,1
The doctor has the warmth of a cozy blanket.,The doctor is cold and unfeeling.,The doctor is comforting.,1
Her devotion to her family was as strong as a kitten.,She is strongly devoted to her family.,She is only weakly devoted to her family.,1
His skill in writing was as sharp as a spoon.,Her writing skill is excellent.,Her writing skill is poor.,1
He had the passion of a nap.,He was very passionate.,He was not passionate.,1
The chemicals had the stability of melted ice cream,The chemicals were stable.,The chemicals were highly unstable.,1
The victory was like getting wet in a thunderstorm.,The victory was too easy.,The victory was very hard-fought.,0
The gun was as powerful as a butterfly,The gun was powerful.,The gun was weak.,1
The boy was as innocent as a rabid wold,the boy was pure,the boy was evil,1
That surface is as smooth as sandpaper,That surface is smooth,That surface is rough,1
That tree is a tall as Push pin,It is short,It is tall,0
The tactic is as complex as Calculus,"The tactic is simple, easy to figure out",The tactic is complex and involves many steps,1
The job is as easy as learning nuclear fission,The job is quite easy and almost everyone can do it,The job is difficult,1
The win was as satisfying as a bowl of chicken soup,The win was perfectly satisfying.,The win wasn't satisfying at all.,0
The blimp was as light as stone,The blimp was very light,The blimp was heavy,1
The book read like a secret note.,The book was easy to read.,The book was hard to read.,1
He is as adorable as a sewer rat,he's cute,he's ugly,1
he is as adventurous as a sofa bed,he is exciting,he is boring,1
This dog is as aggressive as a cotton ball,it is mean,it is harmless,1
He has the courage of a baby,He is very courageous and brave,He is scared,1
The dancer landed her jump with the grace of a cat,The dancer landed her jump gracefully.,The dancer landed her jump with a thud.,0
The teacher's grading policy was as flexible as a steel beam,The teacher's grading policy was very flexible.,The teacher's grading policy was very rigid.,1
Dinner smelled like garbage,Dinner smelled good.,Dinner smelled bad.,1
The bottle was as rare as dirt,The bottle was rare,The bottle was common,1
The toddler's cries were as loud as a library,The toddler's cries were loud.,The toddler's cries were quiet.,1
The man has the addiction of a desert tortoise allergic to the ocean,The man's addiction is severe,The man's addiction isn't very bad,1
"The camel had the humps of Fergie as she depicts herself in the song ""My Humps""","The camel has big, mighty humps",The camel is flat and lacks humps,0
The camel had the humps of a young girl's chest,"The camel has big, mighty humps",The camel is flat and lacks humps,1
He was as sturdy as a brick house.,"He's resiliant, very sturdy.","He's not sturdy, in fact he's easily knocked down.",0
Her hair had the volume of a limp rag.,Her hair had a lot of volume.,Her hair lacked volume.,1
The room is as clean as a dumpster,the room is spotless,the room is filthy,1
The water is as clear as coke,the water is clean,the water is dirty,1
The math test was as simple as cooking a twelve-course Thanksgiving meal,The math test was a cinch.,The math test was very difficult.,1
The knife was as sharp as A door knob,The knife is dull,The knife is sharp,0
The bottle was thin like a brick wall.,The bottle was thin.,The bottle wasn't thin.,1
He has the morality of the snake in the Garden of Eden,He is very moral,He lacks morality,1
His fear was that of a farm pig facing down a bowl of slop,He had a lot of fear,He has no fear,1
My coffee is as hot as the center of the earth.,The coffee is hot,The coffee is not hot,0
The song has the melody of nails on a chalkboard.,The song has a beautiful melody.,The song has a very unpleasant melody and sound.,1
The dog has nerves of glass.,The dog is fearless and unbothered.,The dog is easily upset and scared.,1
The boss was as angry as a charging rhinoceros,The boss was vrey upset.,The boss was even-tempered.,0
The church has all the visitors of a McDonald’s on a Monday morning,The church has many visitors,There’s no one at the church,0
The canyon has the depth of a sandbox,It’s quite deep,It’s shallow,1
She sings like a bird,She sings well,She can't sing,0
I'm as lively as a three year old before bedtime,I'm excited,I'm tired,0
That rose has the redness of a Paula Red apple,It is very red,It's not at all red,0
The man was as handsome as a toad,The man was very handsome,The man was ugly,1
The gem was as bright as coal,The gem was bright and shiny,The gem was dark and dull,1
The CEO had the integrity of a politician,The CEO is dishonest,The CEO is honest,0
The photography has the attractiveness of a concrete block.,The photography is unattractive.,The photography is very attractive.,0
This actor has the dynamism of a parquet floor.,This actor is not dynamic.,This actor is extremely dynamic.,0
The golfer has the accuracy of a rusty compass.,The golfer is inaccurate.,The golfer is highly accurate.,0
The floor has the sheen of a show dog's coat,"The floor is dull, not shiny at all.",The floor is luxuriously shiny.,1
Her boyfriend treats her like a CEO,Her boyfriend doesn't treat her well.,Her boyfriend treats her very well.,1
"For the nation, their army was a a sword.",The army protected the country.,The army harmed other countries.,1
She has the artistry of Picasso.,She has impressive artistic skills.,She has no artistic skills.,0
The line move as fast as a sloth in a lazy river.,The line moves quickly.,The line moves slowly.,1
He has the money of Mr. Magoo after mistaking a post-it notepad for his wallet,He has a lot of money,He has almost no money,1
The cat was as angry as an anthill,the cat was mad,The cat was docile,0
I'm as annoyed as a secretary on vacation,I am irritated,I am calm,1
The choir boy's vocals sounded like a jackal,The choir boy had good vocals.,The choir boy had poor vocals.,1
The student was a fox.,The student was unintelligent.,The student was sly.,1
That dog has the mass of a squashed ladybug,The dog is big,The dog is tiny,1
The TV eats the electricity of an old wristwatch,It uses a lot of power,It draws very little power,1
This structure is as permanent as stone,The structure will last.,The structure will not last long.,0
The fireworks were as loud as whispers,The fireworks were loud,The fireworks were quiet,1
He acted with the skill of a quack,He was skillful,He was unskilled,1
The well water has the pristineness of a toilet bowl.,The well water is foul.,The well water is pure and drinkable.,0
The soup was as spicy as cinnamon hots,The soup was fiery in flavor.,The soup wasn't spicy at all.,0
JON IS A HAS A MIND LIKE A SIEVE.,JON IS A FOOLISH PERSON.,JON IS A KNOWLEDGEABLE PERSON.,0
"To her, facts are like flagstones","To her, facts are confusing and hard to navigate in.","To her, facts are easily see and used to guide.",1
The facts were as clear as a murky pond,The facts were obvious.,The facts were obscure.,1
The movie has as much mystery as a piece of glass,The movie isn't mysterious at all.,The movie has a lot of mystery to it.,0
The film was as impressive as the Great Pyramids,The film was very impressive.,The film wasn't impressive at all.,0
The storm was loud as a whisper,The storm was loud.,The storm was quiet.,1
Most Americans are as conscious as An old man napping on his porch,Most Americans are as awake as an adrenaline filled runner.,Most Americans are as asleep as old people who are tired frequently.,1
Her skin was a a carribean beach,Her skin was red and splotchy,Her skin was pale and clean,1
He has the unconsciousness of an owl in the middle of the night after five cups of coffee,He's completely unconscious,He's extremely conscious,1
Their love is as deep as a thimble,They are madly in love,They're not in love,1
The painting is like a finding $100 on the street,The painting is tacky and commercial,The painting is surprisingly good,1
The person was cold as A sub zero freezer,The person is very cold.,"The person is cold, but used to it and thriving",0
The painting is as random as a roll of dice,Anything goes; it is haphazard,It is well thought out and systematic,0
She had all the honesty of a corporate lawyer.,She wasn't very honest.,She was very honest.,0
The girl had the speed of a car in traffic,The girl is fast.,The girl is slow.,1
The child has the energy of a sloth,The child lacks energy.,The child is energetic.,0
His argument is teflon.,His argument is weak.,His argument is strong.,1
Matt's girlfriend is the DMV.,Matt's girlfriend is fast.,Matt's girlfriend is slow.,1
After a workout he had as much energy as A wind up toy car.,He had a lot of energy.,He had very little energy.,1
His movements were liquid.,His movements were graceful and flowed.,His movements were not graceful.,0
This beach has the serenity of a screaming child.,The beach was very serene.,The beach was not very serene.,1
"He was a d20 that always rolled a ""1.""",He was unlucky.,He was lucky.,0
The dirt road is measuring tape.,The dirt road is curvy.,The dirt road is straight.,1
My mind is a blank slate,My mind is empty.,My mind is full of thoughts.,0
She is like a snuggly bear.,She is comforting.,She is unapproachable.,0
The wind was like a blast from a rocket,the wind was very strong,The wind was very soft,0
He has all the rationality of the Joker from Batman comics,He lacks rationality,He's quite rational,0
The art has the depth of a puddle.,The art is superficial.,The art is profound.,0
His book was as hard to navigate as a trip to the corner store,The book was hard to finish.,The book was easy to finish.,1
The car's engine runs as smooth as a pig on stilts,The car's engine runs rough,The car's engine runs smooth,0
The girl is as shallow as a kiddie pool,The girl is really shallow.,The girl has a lot of layers to her.,0
The man was as handsome as a physician in a white coat,The man looked sharp.,The man was plain-looking.,0
He's as ready as a steam engine.,He's fully ready.,He's not ready at all.,0
The pool's as shallow as a puddle,The pool is shallow.,The pool is very very deep.,0
He has the physique of a jellyfish,He's muscular and strong,He's flimsy and weak,1
The cat food has the aroma of foot fungus.,The cat food smells awful.,The cat food smells delicious.,0
She kept her room as clean as a middle school cafeteria during lunchtime,Her room was very messy.,Her room was very clean.,0
He hustles like rent was due three days ago.,He hustles hardcore.,He doesn't hustle at all.,0
The employee was as busy as a CPA during tax season,The employee was frazzled with work.,The employee had nothing to do.,0
The man swinging the hammer has the strength of A three-year-old child,The man is weak,The man is strong,0
The painter has the depth of a pot hole,The painter is deeply talented,The painter is untalented.,1
Her love was as valuable as The feseral reserve.,He cherished her love.,She was not worth much to him.,0
Her hair was as strong as A twine rope,Her hair was strong as metal.,Her hair was brittle.,1
The auditorium was as packed as a classroom in July,The auditorium had no people in it.,The auditorium had tons of people in it.,0
His foot is as big as an ant,He has really big feet,He has small feet,1
His bathroom was as clean as a landfill near a nuclear waste site,His bathroom was filthy,His bathroom was spotless,0
The accountant was an Einstein.,The accountant was intelligent.,The accountant was stupid.,0
He has all the anger of cotton candy.,He has a lot of anger.,He does not have a lot of anger.,1
The worker has the discipline of a wise chess master,The worker had great discipline,The worker has little discipline,0
My colleague's project looked like the work of a third-grader,My colleague's project is very rudimentary.,My colleague's project is very sophisticated.,0
He worked with the speed of a tired snail,He worked quickly,He worked slowly,1
The sky is as clear as ink.,The sky is dark and cloudy.,The sky is bright and clear.,0
The man was had the strength of a sparrow,The man was very strong.,The man was very weak.,1
The play was as good as a elementary class' Thanksgiving play.,"The play had a depth of meaning, was both poetic and entertaining, and had the quality of something that would last.",The play was simplistic and lacked a serious artistic quality.,1
The album was as successful as a failed American Idol audition.,The album was very popular and achieved great success.,The album was not popular and achieved very little success.,1
The racetrack was as slippery as carpet.,The track was very slippery.,The track was not slippery.,1
The wedding had as much pizzazz as a child's birthday party at home,The wedding was very splashy.,The wedding was very ordinary.,1
The event was as fancy as the Queen's wedding,The event was very fancy.,The event was very down to earth.,0
He floats like a fish.,He floats very well.,He doesn't float at all.,0
She and dogs go together like peanut butter and chocolate.,They go together really well.,They don't go together at all.,0
His life had the richness of a starfish living under a rock,His life was rich and fulfilling,His life was dull,1
The sweater had the stripes of a horse wearing a polka dot shirt,The sweater had many stripes,The sweater was lacking in stripes,1
They're as smart as a whip,they are smart,they aren't very intelligent,0
He was as sharp as a butter knife,He was not very smart,He was very smart,0
Time moves like lightning,Time moves quickly.,Time moves slowly.,0
He punched like a pillow,He punched hard,He punched softly,1
She's as attractive as the backside of a wildebeest.,She is ugly.,She is beautiful.,0
Her house was clean like it had been cleaned by the servants of a violent king.,The house was meticulously clean.,The house wasn't clean at all.,0
The girl's career took off as quickly as a starfish,The girl's career skyrocketed.,The girl's career stagnated.,1
The girl commanded as much respect as a dunce,The girl didn't command respect.,The girl was very well-respected.,0
The table is a piece of glass.,The table is bumpy.,The table is smooth.,1
I like this project as much as I like my enemy,The project is unlikeable,The project is likeable,0
He felt right as acid rain,He was feeling right,He was feeling wrong,1
The movie has the humor of a funeral,The movie is sad,The movie is funny,0
The memoir has all the entertainment of watching dried paint remain dry,The memoir was very entertaining,The memoir was boring,1
The preacher had the speaking voice of a pregnant goat.,The preacher has an unpleasant voice.,The preacher has an impressive voice.,0
The food had the smell of a sweet perfume.,The food had a bad smell,The food had a good smell,1
She had the intelligence of a thousand monkeys sitting at desks and typing on typewriters.,The things she said were noisy and random,The things she said or did were methodical and calculating.,0
The sex was a dead-on-arrival.,The sex was fantastic.,The sex was boring.,1
The businessman was as aggressive in negotiations as a secretary,The businessman went all out in negotiations.,The businessman was a timid negotiator.,1
The movie had the depth of A preschool curriculum,The movie is shallow.,The movie is thought provoking.,0
The movie has the depth of the roots of a daisy.,The movie is epic.,The movie lacks plot.,1
Jeremy drank down the ocean.,Jeremy could drink a lot.,Jeremy could not drink a lot.,0
Jeremy drank with the tolerance of a mouse.,Jeremy could drink a lot.,Jeremy could not drink a lot.,1
That child is a chihuahua.,he is small and fearful.,He is big and brave.,0
The plane seat area has the leg room of a tricycle.,The plane seat area is cramped.,The plane seat area is comfortable.,0
The lawn mower has the power of Edward Scissorhands.,The lawn mower doesn't work well.,The lawn mower cuts efficiently.,1
The pop song was a slug,The pop song was upbeat and catchy.,The pop song was slow.,1
The school was full of young monkeys.,The school was full of energetic children.,"The school was full of slow, lethargic children.",0
The writer was about as quiet as a cricket on a summer night,The writer is very quiet,The writer is noisy,1
George ran like a snail,George ran fast,George ran slow,1
The movie has the depth of a conversation between Socrates and Spinoza on one of their better days,The movie is boring,The movie is profound,1
Her presence at the wedding was as expected as drama on the Jerry Springer show,Her presence at the wedding was unexpected,Her presence at the wedding was very expected,1
This court trial is as fair as playing chess with a robot.,The court trial is unfair.,The court trial is very fair.,0
His new job is as easy as climbing a cliff with one arm.,His new job is very easy,His new job is very hard.,1
The meal was like a horror movie,The meal was invigorating,The recipient dreaded what came next while eating,1
The high student has as many things on her to-do list as a business executive,The high school student has a to-do list that's packed.,The high school student doesn't have much on her to-do list.,0
His new car has as much power as Chernobyl today.,The car has lots of power.,The car is so low in power it's not working.,1
The car has the speed of a slug carrying a ton of bricks,The car is fast,The car is slow,1
"To the audience, Sara's speech was warm tea.","To the audience, Sara's speech was hurtful.","To the audience, Sara's speech was pleasant.",1
Legal professions are as appealing as counting sand grains on a beach,Legal professions are tedious,Legal professions are exciting,0
She's got the anger of a sleeping little lamb,She's very angry,She's quite calm,1
He's got the swimming ability of a pack of dolphins,He can swim well,He isn't good at swimming,0
My sister is a Goldfish,My sister is smart,My sister is not smart,1
The actor has the fame of a Roman emperor,The actor is very well known,The actor is not very well known,0
Fame is as fleeting as A mosquito life span,Fame expires quickly,Fame lasts a long time,0
Ex friends calling you are as transparent as skyscraper glass windows.,You can see through old friends contact attempts,You have no idea why old friends contact you,0
He's felt that he was on top of a garbage pile.,He was really happy.,He's was sad.,1
That party lasted as long as a line of coke at a drug rehab,The party lasted a short amount of time,The party lasted a long time,0
The man's sneeze was as noticeable as a whisper,The man's sneeze was unmistakably noticeable.,The man's sneeze was undetected.,1
The sixth grader's homework assignment was as easy as writing a PhD dissertation,The sixth grader's homework assignment was a cinch to complete.,The sixth grader's homework assignment was very difficult to complete.,1
His anger was as visible as a piece of thin glass,It was very clear that he was angry,His anger was very well hidden,1
The party was as grand as a book club meeting,The party was large and full of excitement,The party was uninteresting,1
The girl was as bubbly as still water,The girl was vivacious.,The girl was bland.,1
The man's personality was as volatile as a sloth,The man was often angry.,The man was laidback.,1
He flew like a stone,"He moved in a light, graceful way.","He moved in a clumsy, heavy way.",1
His brain was made of curving winding roads leading into dark woods.,He is really efficient and thinks in a straightforward way.,He tends to get distracted.,1
He had the class of a child at a birthday party at Chuck E. Cheese,He had a lot class,He had little class,1
She was a warm as a frozen steak,She was warm.,She was cold.,1
It was as melodious a colicky baby,It was melodious.,It was not melodius.,1
The kids have as much energy as Olympic athletes,The kids have tons of energy.,The kids don't have any energy at all.,0
He has the nose of an elephant with a sinus infection,His nose is good looking,His nose looks ugly,1
The game has all the challenge of walking to the bathroom first thing in the morning,The game is fairly challenging,The game lacks challenge,1
He had the wisdom of a turnip,He was wise.,He was ignorant.,1
The word meaning was as clear as Molasses,The meaning was clear,The meaning was murky,1
The car was as shiny as Concrete.,The car had a lot of shine.,The car was dull.,1
His father was a pillar.,His father was really reliable.,His father was not reliable.,0
This guy has the charisma of a Greek god.,"This guy is bland and boring, with no appeal.",This guy is incredibly appealing to the point of being legendary.,1
The ball is a rubber band.,The ball is bouncy.,The ball is not bouncy.,0
The cat is a lion,The cat is aggressive,The cat is meek,0
He's talks like a a hungover DMV employee.,He talks really fast.,He talks really slowly.,1
My house is as loud as a cemetery,My house is loud.,My house is quiet.,1
The razor has the cutting power of a cartoon cat's claws,The razor cuts well,The razor can barely cut at all,0
The lion has the pouncing power of a dog with no legs,The lion has a lot of pouncing ability,The lion cannot pounce,1
The ball is a pea.,The ball is large and red.,The ball is small.,1
The giraffe was as tall as the Sears Tower,The giraffe was tall,The giraffe was short,0
The boy is as daring as a fawn,The boy is timid.,The boy is fearless.,0
She has the personality an A fannypack,She is boring and lame,She is colorful and fun,0
The man was as skinny as a broom,The man was skinny,The man was fat,0
My friend is as loyal as a pack of hyenas.,My friend is a backtabber.,My friend would take a secret to the grave.,0
The professor has the IQ of a virus.,The professor is stupid.,The professor is intelligent.,0
The car ride was as smooth as paper,The car ride went very smoothly.,The car ride was very bumpy.,0
Jane was a friend as good as The smell of stale cigarette smoke.,Jane was a comforting friend.,Jane was stagnant as a friend.,1
The architect's building design was as inspiring as a Soviet apartment block,The architect's building design was unoriginal,The architect's building design was a masterpiece,0
I was as hungry as a man after Thanksgiving dinner.,I was famished.,I was full.,1
The light on the tree were as bright as a cave,The light was bright,The light was dark,1
The girl is as reliable as an SUV,The girl can definitely be relied upon.,The girl isn't reliable at all.,0
He produces like a one-man factory.,He's very productive.,He's not productive at all.,0
The tap dancer was an elephant.,The tap dancer was clumsy.,The tap dancer was graceful.,0
The movie has the excitement of visiting a budget petting zoo,The movie is very exciting,The movie is pretty dull,1
The blanker provides the warmth of an open refrigerator,The blanket provides a lot of warmth,The blanket provides little warmth,1
The girl's facial expression was as clear as pea soup,The girl's facial expression was somewhat murky.,The girl's facial expression was obvious.,0
The book plot was as straightforward as uncombed hair,The book plot was very straightforward.,The book plot was very twisted.,1
The gambler had the luck of a black cat walking under a ladder.,The gambler was lucky,The gambler was unlucky.,1
The lion has the roar of mosquito flying down a busy street,The lion's roar is loud,The lion's roar is bately audible,1
The washing machine has the cleaning ability of a fully rested man with OCD in a dirty room,The washing machine cleans very well,The washing machine leaves behind a lot of filth,0
Love is a dumpster fire.,Love is trash.,Love is beautiful.,0
The woman is a toad.,The woman is ugly.,The woman is beautiful.,0
The office environment was as sterile as a dental hygienist's equipment,The office environment was totally dull.,The office environment was full of life.,0
She swam like a cat.,She didn't swim well.,She swam very well.,0
He was as smooth as butter.,He was very smooth.,He wasn't smooth at all.,0
The gossip was as juicy as a sandbox,The gossip was entertaining,the gossip was boring,1
That cake is as moist as The Sahara desert,The cake is dry,The cake is not dry,0
The ice cream was as tasty as Lint,The ice cream is bland,The ice cream is flavorful,0
Inflation is as high as the mariana trench.,Inflation is very low.,Inflation is very high.,0
The villain is as beautiful as the Joker.,The villain is hideous.,The villain is gorgeous.,0
The hero was strong like a wet noodle,The hero was strong,The hero was not strong,1
The girl's voice was as flat as sparkling water,The girl's voice was very bubbly.,The girl's voice was flat and monotonous.,0
The book's plot was as twisted as a parade of soldiers,The book's plot was all over the place.,The book's plot followed a linear fashion.,1
The new car drives like a donkey,The car is fast,The car is slow,1
He's as country as Texas.,He's very country.,He's not very country at all.,0
Her eyes were blue as a muddy pond,Her eyes were a clear blue,Her eyes were muddy and brown,1
The officer has the training of a newborn goldfish,The officer is well trained,The officer has little training,1
He has the villainy of Hitler on methamphetamine,He is quite the villain,He's not very villainous,0
The driveway is a mirror.,The driveway is bumpy.,The driveway is smooth.,1
His head was filled with molasses.,He wasn't very bright.,He was very smart and had a lot of good ideas.,0
The toothbrush has the firmness of a brown banana,The toothbrush is very firm,The toothbrush lacks firmness,1
The director possessed the intelligence of A baby fur seal,The director is stupid,The director is intelligent,0
