startphrase,completion
"The room felt like a furnace.That is to say,", it was a room that was hot enough to melt metal
"The room felt like a furnace.That is to say,", the temperature was high
"The room felt like a furnace.That is to say,"," the temperature was not so high as to cause discomfort, but it was still rather warm"
"The room felt like a furnace.That is to say,"," the temperature was normal, but the air was thick and heavy"
"Vanity is the tailwind of reason.That is to say,", the vanity of the intellect is the source of all the other vices
"Vanity is the tailwind of reason.That is to say,"," the more one is exposed to the light of reason, the more one is likely to be led by reason"
"Vanity is the tailwind of reason.That is to say,"," if we are all rational, then we will all be the same"
"Vanity is the tailwind of reason.That is to say,", it is a vice which is the opposite of reason
"This guy has the charisma of a ball of clay.That is to say,", he is a clay statue
"This guy has the charisma of a ball of clay.That is to say,", he has no charisma at all
"This guy has the charisma of a ball of clay.That is to say,"," he is a man who looks like he is made of clay, but he is actually made of metal"
"This guy has the charisma of a ball of clay.That is to say,", he is a dull lump of clay
"A chemical reaction is like a riot.That is to say,", it is a lot of people getting together and having a big fight
"A chemical reaction is like a riot.That is to say,"," it is a lot of people running around, bumping into each other and yelling"
"A chemical reaction is like a riot.That is to say,", it is a violent reaction
"A chemical reaction is like a riot.That is to say,", it is a process in which a lot of people are involved
"The sadness of her death was a flea.That is to say,"," it was not a flea, but a flea"
"The sadness of her death was a flea.That is to say,", a flea that had no wings to fly
"The sadness of her death was a flea.That is to say,", it was a flea
"The sadness of her death was a flea.That is to say,", it was a flea that was a sadness
"The man was had the strength of a lion.That is to say,", he was a man who was strong enough to lift a lion
"The man was had the strength of a lion.That is to say,", he was a man who had the strength of a lion
"The man was had the strength of a lion.That is to say,", he was a man who could lift a lion
"The man was had the strength of a lion.That is to say,", he was a man who looked like a lion
"She had all the honesty of a corporate lawyer.That is to say,", she was a corporate lawyer from the neck up
"She had all the honesty of a corporate lawyer.That is to say,", she had none
"She had all the honesty of a corporate lawyer.That is to say,", none
"She had all the honesty of a corporate lawyer.That is to say,", she was a corporate lawyer
"The girl moved as fast as a turtle.That is to say,", she was slow
"The girl moved as fast as a turtle.That is to say,", not very fast at all
"The girl moved as fast as a turtle.That is to say,", very slowly
"The girl moved as fast as a turtle.That is to say,", she was not fast
"He has the attitude of the Grinch at Halloween.That is to say,", he has no idea what he's doing
"He has the attitude of the Grinch at Halloween.That is to say,", he's a grumpy old man
"He has the attitude of the Grinch at Halloween.That is to say,", he is a very grumpy person
"He has the attitude of the Grinch at Halloween.That is to say,", he is not a nice person
"His skill in writing was as sharp as a knife.That is to say,", he was a genius
"His skill in writing was as sharp as a knife.That is to say,", he was a writer
"His skill in writing was as sharp as a knife.That is to say,", he was a master of the art of writing
"His skill in writing was as sharp as a knife.That is to say,", he was a writer who was able to capture the essence of things in a few words
"He's got the swimming ability of a pack of dolphins.That is to say,", he's got the swimming ability of a pack of dolphins
"He's got the swimming ability of a pack of dolphins.That is to say,", he's got the swimming ability of a pack of dolphins
"He's got the swimming ability of a pack of dolphins.That is to say,", he's a good swimmer
"He's got the swimming ability of a pack of dolphins.That is to say,"," he can swim as fast as he wants to, and he can do it for as long as he wants to"
"My wife's cooking tastes like heaven.That is to say,", it tastes like her cooking
"My wife's cooking tastes like heaven.That is to say,", it tastes like she's been cooking for a while
"My wife's cooking tastes like heaven.That is to say,", it tastes like the heaven I'm in
"My wife's cooking tastes like heaven.That is to say,", it tastes like hell
"He has the nose of Michaelangelo's David.That is to say,", he has the nose of a man who has never been in love
"He has the nose of Michaelangelo's David.That is to say,", a nose that is the perfect shape for a nose
"He has the nose of Michaelangelo's David.That is to say,", he has the nose of a man who has been to the gym a lot
"He has the nose of Michaelangelo's David.That is to say,", he has a nose
"The razor has the cutting power of a declawed kitten.That is to say,", it's not very good
"The razor has the cutting power of a declawed kitten.That is to say,", it's not very good
"The razor has the cutting power of a declawed kitten.That is to say,", it doesn't cut at all
"The razor has the cutting power of a declawed kitten.That is to say,", it's not sharp enough to cut the hair on my arm
"That boy has the sense of a rock.That is to say,", he has no sense at all
"That boy has the sense of a rock.That is to say,", he has the sense of a rock that is a rock
"That boy has the sense of a rock.That is to say,", he is not a normal boy
"That boy has the sense of a rock.That is to say,", he has the sense of a rock
"My wife's cooking tastes like cardboard.That is to say,", it tastes like cardboard
"My wife's cooking tastes like cardboard.That is to say,", it tastes like cardboard
"My wife's cooking tastes like cardboard.That is to say,", it's terrible
"My wife's cooking tastes like cardboard.That is to say,", she doesn't cook at all
"The teacher's grading policy was as flexible as a steel beam.That is to say,", it was very flexible
"The teacher's grading policy was as flexible as a steel beam.That is to say,"," if you did not do your homework, you would get a zero"
"The teacher's grading policy was as flexible as a steel beam.That is to say,", he graded the students based on their ability to memorize the textbook
"The teacher's grading policy was as flexible as a steel beam.That is to say,"," if a student's work was good enough to pass, it was good enough to pass"
"The pillow was as soft as a cloud.That is to say,", it was a soft pillow
"The pillow was as soft as a cloud.That is to say,", it was as soft as a cloud
"The pillow was as soft as a cloud.That is to say,", it was soft like a cloud
"The pillow was as soft as a cloud.That is to say,", it was soft like a cloud
"The room felt like a cooler.That is to say,", it was a room that was not hot
"The room felt like a cooler.That is to say,", it was a place where the temperature was lower than the outside
"The room felt like a cooler.That is to say,", it was a room that was a little cooler than the usual
"The room felt like a cooler.That is to say,", it was a room that was cool
"The conversation has me feeling like I just ate the whole Thanksgiving turkey.That is to say,", I feel like I just ate the whole Thanksgiving turkey and then had the leftovers
"The conversation has me feeling like I just ate the whole Thanksgiving turkey.That is to say,", I'm feeling a little bit overwhelmed
"The conversation has me feeling like I just ate the whole Thanksgiving turkey.That is to say,", I'm feeling a little overwhelmed
"The conversation has me feeling like I just ate the whole Thanksgiving turkey.That is to say,", I feel like I just ate the whole Thanksgiving turkey
"The military is as organized as a toddler's bedroom.That is to say,", not at all
"The military is as organized as a toddler's bedroom.That is to say,", not very
"The military is as organized as a toddler's bedroom.That is to say,", it's a mess
"The military is as organized as a toddler's bedroom.That is to say,", it's a mess
"The ball is a big red sun.That is to say,"," it is a ball that is red, and it is a sun"
"The ball is a big red sun.That is to say,", it is the sun of the sun
"The ball is a big red sun.That is to say,", it is a ball of red light
"The ball is a big red sun.That is to say,", a ball is a big red sun
"The actor has the fame of a box of rocks.That is to say,", he is known for being a very good actor
"The actor has the fame of a box of rocks.That is to say,", he is not famous at all
"The actor has the fame of a box of rocks.That is to say,", he has no fame at all
"The actor has the fame of a box of rocks.That is to say,", he is not famous at all
"This guy has the charisma of a Greek god.That is to say,", he's a complete and total jerk
"This guy has the charisma of a Greek god.That is to say,", he has the charisma of a Greek god who is also a very good actor
"This guy has the charisma of a Greek god.That is to say,", he's very good-looking
"This guy has the charisma of a Greek god.That is to say,", he's gorgeous
"This dog is as aggressive as a heavyweight fighter.That is to say,", he's a tough guy
"This dog is as aggressive as a heavyweight fighter.That is to say,", he has a lot of power
"This dog is as aggressive as a heavyweight fighter.That is to say,", he is not a dog to be trifled with
"This dog is as aggressive as a heavyweight fighter.That is to say,"," if you are not careful, he will bite you"
"The book plot was as straightforward as a Y-axis.That is to say,", the plot was pretty simple
"The book plot was as straightforward as a Y-axis.That is to say,", the plot was simple
"The book plot was as straightforward as a Y-axis.That is to say,"," there was a good plot, but it was a plot that was easy to understand and follow"
"The book plot was as straightforward as a Y-axis.That is to say,", it was very simple
"The conductor is a demolition derby.That is to say,"," a person who is constantly in motion, and who is always in a state of motion"
"The conductor is a demolition derby.That is to say,", he is a very fast driver
"The conductor is a demolition derby.That is to say,", a race car driver
"The conductor is a demolition derby.That is to say,"," a very good conductor, with a very bad orchestra"
"The fortress appears as a boulder.That is to say,", the fortress is a boulder
"The fortress appears as a boulder.That is to say,", the boulder is a fortress
"The fortress appears as a boulder.That is to say,", it is a boulder
"The fortress appears as a boulder.That is to say,", it is a boulder that is as big as a boulder and is as heavy as a boulder
"The critic's review of the concert rang of The lavish praise given to a king.That is to say,", it is a good thing that the critic was pleased with the concert and was willing to praise the concert
"The critic's review of the concert rang of The lavish praise given to a king.That is to say,"," that the critic was so impressed by the king's performance, that he was unable to see the faults in it"
"The critic's review of the concert rang of The lavish praise given to a king.That is to say,", the critic was so enamored of the King that he was willing to overlook all of the faults in the performance
"The critic's review of the concert rang of The lavish praise given to a king.That is to say,", a critic who is a king
"The clothing has the smell of roses.That is to say,", it smells of roses
"The clothing has the smell of roses.That is to say,", the smell of the roses that have been worn by the person
"The clothing has the smell of roses.That is to say,", the smell of the roses is so strong that it is difficult to bear
"The clothing has the smell of roses.That is to say,", the smell of a rose
"The businessman was as aggressive in negotiations as a secretary.That is to say,", he was a bit of a pushover
"The businessman was as aggressive in negotiations as a secretary.That is to say,", he was not aggressive at all
"The businessman was as aggressive in negotiations as a secretary.That is to say,", he was not aggressive at all
"The businessman was as aggressive in negotiations as a secretary.That is to say,", he was not aggressive at all
"The book's plot was as twisted as a parade of soldiers.That is to say,", it was a parade of soldiers
"The book's plot was as twisted as a parade of soldiers.That is to say,", it was a parade of soldiers
"The book's plot was as twisted as a parade of soldiers.That is to say,", it was a good plot
"The book's plot was as twisted as a parade of soldiers.That is to say,", it was as twisted as a parade of soldiers
"Vanity is the quicksand of reason.That is to say,"," the more reason we have, the more we are prone to vanity"
"Vanity is the quicksand of reason.That is to say,", it is the quicksand of morality
"Vanity is the quicksand of reason.That is to say,", vanity is the quicksand of reason
"Vanity is the quicksand of reason.That is to say,", it is the quicksand of the will
"The conversation has me sweating like a snowman in the summer.That is to say,", I'm sweating like a snowman in the summer
"The conversation has me sweating like a snowman in the summer.That is to say,", I'm sweating like a snowman in the summer
"The conversation has me sweating like a snowman in the summer.That is to say,", I'm sweating like a snowman in the summer
"The conversation has me sweating like a snowman in the summer.That is to say,", I'm sweating like a snowman in the summer
"He's got the swimming ability of a spider in a bathtub.That is to say,", he's got the swimming ability of a spider in a bathtub
"He's got the swimming ability of a spider in a bathtub.That is to say,", he's got the swimming ability of a spider in a bathtub
"He's got the swimming ability of a spider in a bathtub.That is to say,", he's a frog
"He's got the swimming ability of a spider in a bathtub.That is to say,", he's a hopeless case
"The man was had the strength of a sparrow.That is to say,", he was strong enough to lift a sparrow
"The man was had the strength of a sparrow.That is to say,", he was a man of little strength
"The man was had the strength of a sparrow.That is to say,"," he was so weak that he could not lift a sparrow, but he had the strength of a sparrow"
"The man was had the strength of a sparrow.That is to say,", he was not a very big man
"Chromosomes are like a tapestry.That is to say,", they are made up of threads
"Chromosomes are like a tapestry.That is to say,"," they are like a long, long chain of beads"
"Chromosomes are like a tapestry.That is to say,", they are a long chain of DNA and proteins
"Chromosomes are like a tapestry.That is to say,"," they are made up of threads of DNA, which are made up of molecules called nucleotides"
"The family was as rich as a king.That is to say,"," they were not rich, but they were not poor either"
"The family was as rich as a king.That is to say,", they were not rich at all
"The family was as rich as a king.That is to say,", they were not rich at all
"The family was as rich as a king.That is to say,", he was a king
"For the nation, their army was a a shield.That is to say,", they had no army
"For the nation, their army was a a shield.That is to say,", the nation was the shield of the army
"For the nation, their army was a a shield.That is to say,", the people of the nation were not the ones who fought
"For the nation, their army was a a shield.That is to say,", it was a shield that can protect the nation from the enemy
"The actor has the fame of a Roman emperor.That is to say,", he is a man who has the fame of a Roman emperor
"The actor has the fame of a Roman emperor.That is to say,", he is the most famous actor in the world
"The actor has the fame of a Roman emperor.That is to say,"," he is a man of great influence, who is able to make or break a career"
"The actor has the fame of a Roman emperor.That is to say,", he is a very famous actor
"The pot roast was as tender as a warm doughnut.That is to say,", it was not
"The pot roast was as tender as a warm doughnut.That is to say,", it was not tender at all
"The pot roast was as tender as a warm doughnut.That is to say,", it was not
"The pot roast was as tender as a warm doughnut.That is to say,", it was not
"Her sight is as good as an eagle.That is to say,", she can see in the dark
"Her sight is as good as an eagle.That is to say,", she can see as well as an eagle
"Her sight is as good as an eagle.That is to say,", she can see as well as an eagle can see
"Her sight is as good as an eagle.That is to say,"," if you have a problem, she can see it from a distance"
"The man is as sharp as a bowling ball.That is to say,"," he is as sharp as a bowling ball, but he is not a bowling ball"
"The man is as sharp as a bowling ball.That is to say,", he is as sharp as a bowling ball
"The man is as sharp as a bowling ball.That is to say,", he is a man who is very sharp
"The man is as sharp as a bowling ball.That is to say,", he's as sharp as a bowling ball
"His conversation sounds like a profound speaker.That is to say,", he is a profound speaker
"His conversation sounds like a profound speaker.That is to say,", he is a great speaker
"His conversation sounds like a profound speaker.That is to say,", I'm not a good speaker
"His conversation sounds like a profound speaker.That is to say,", the speaker is a profound speaker
"School is a circus.That is to say,"," it's a place where the kids are always on the edge of chaos, and the adults are always on the edge of panic"
"School is a circus.That is to say,", the teachers are always trying to get the kids to do something they don't want to do
"School is a circus.That is to say,"," the school is a place where children are brought up and educated, and the school is a place where adults are brought up and educated"
"School is a circus.That is to say,", a place where the young are trained to be young
"The family was as rich as a pile of dirt.That is to say,"," he was a man of high position,and he was a man of great wealth"
"The family was as rich as a pile of dirt.That is to say,", they were dirt poor
"The family was as rich as a pile of dirt.That is to say,", they were rich enough to be able to afford a pile of dirt
"The family was as rich as a pile of dirt.That is to say,", they were as poor as a pile of dirt
"The job is as easy as tying your shoes.That is to say,", it is not easy
"The job is as easy as tying your shoes.That is to say,", you can do it
"The job is as easy as tying your shoes.That is to say,", it is not easy at all
"The job is as easy as tying your shoes.That is to say,", it is not easy at all
"For the nation, their army was a a sword.That is to say,", the army was an instrument of the nation
"For the nation, their army was a a sword.That is to say,", they are the ones who will be able to cut the enemy's throat
"For the nation, their army was a a sword.That is to say,", they were a sword
"For the nation, their army was a a sword.That is to say,"," the nation, the army, and the people, all three were the same"
"The event planning hit several storms in the process.That is to say,", it was a big hit
"The event planning hit several storms in the process.That is to say,", the event planning hit a storm when the event planning hit a storm
"The event planning hit several storms in the process.That is to say,", the event planning hit several storms in the process
"The event planning hit several storms in the process.That is to say,", it was a very bad time for the event planning
"The book plot was as straightforward as uncombed hair.That is to say,"," it was a story of a girl who was born with the body of a boy, and the boy who was born with the body of a girl"
"The book plot was as straightforward as uncombed hair.That is to say,", it was a story about a young man who was born in a certain place and grew up there
"The book plot was as straightforward as uncombed hair.That is to say,", the plot was a little too simple and predictable
"The book plot was as straightforward as uncombed hair.That is to say,", it was the story of a man who had been saved from a life of crime and was now a successful businessman
"Her sight is as good as a mole.That is to say,", she can see in the dark
"Her sight is as good as a mole.That is to say,", it is not very good
"Her sight is as good as a mole.That is to say,", she can see in the dark
"Her sight is as good as a mole.That is to say,", it is not good
"His abs were a wall.That is to say,", he was a man who was built like a wall
"His abs were a wall.That is to say,", they were not a wall at all
"His abs were a wall.That is to say,", the wall is a person
"His abs were a wall.That is to say,", he was a wall
"It's as loud as a hurricane.That is to say,", it's as loud as a hurricane
"It's as loud as a hurricane.That is to say,", it's loud enough to be heard from the other side of the planet
"It's as loud as a hurricane.That is to say,", I have no idea what's going on
"It's as loud as a hurricane.That is to say,", it's a lot louder than the average sound of a hurricane
"Chromosomes are like spaghetti.That is to say,"," they are long, thin strands of DNA"
"Chromosomes are like spaghetti.That is to say,", they are not like spaghetti
"Chromosomes are like spaghetti.That is to say,"," they are long, thin strands of DNA that are coiled up in a tight little ball"
"Chromosomes are like spaghetti.That is to say,", they are long and thin
"The groom was feeling like a raindrop on a grave.That is to say,"," he was feeling like a raindrop on a grave, and he was feeling like a raindrop on a grave, and he was feeling like a rain"
"The groom was feeling like a raindrop on a grave.That is to say,", he was feeling like a raindrop on a grave
"The groom was feeling like a raindrop on a grave.That is to say,"," he was feeling like a raindrop, but he was not feeling like a grave"
"The groom was feeling like a raindrop on a grave.That is to say,", he was feeling like a raindrop on a grave
"he is as adventurous as a pioneer.That is to say,"," he is not a man of the world, but a man of the future"
"he is as adventurous as a pioneer.That is to say,", he's a man who is always ready to take on new challenges
"he is as adventurous as a pioneer.That is to say,", he has a mind that is not at all limited to the world of the senses
"he is as adventurous as a pioneer.That is to say,"," he is a man of great spirit and energy, who is not afraid to take risks"
"The pillow was as soft as a cement slab.That is to say,", it was so soft that it was hard to believe it was a pillow
"The pillow was as soft as a cement slab.That is to say,", it was hard
"The pillow was as soft as a cement slab.That is to say,", it was soft enough to make him think that it was a slab of cement
"The pillow was as soft as a cement slab.That is to say,", it was a pillow that was not soft at all
"The pot roast was as tender as a boulder encased in concrete.That is to say,", it was a little tough
"The pot roast was as tender as a boulder encased in concrete.That is to say,", it was tender enough
"The pot roast was as tender as a boulder encased in concrete.That is to say,", it was tough
"The pot roast was as tender as a boulder encased in concrete.That is to say,"," it was tender, but it was also big"
"He has the nose of an elephant with a sinus infection.That is to say,", he has the nose of an elephant with a sinus infection
"He has the nose of an elephant with a sinus infection.That is to say,", he has a very sensitive nose
"He has the nose of an elephant with a sinus infection.That is to say,", he is a completely normal person
"He has the nose of an elephant with a sinus infection.That is to say,", he has a very good nose
"The clothing has the smell of a crowded gym.That is to say,", it smells like sweat
"The clothing has the smell of a crowded gym.That is to say,", the smell of sweat
"The clothing has the smell of a crowded gym.That is to say,", the smell of sweat
"The clothing has the smell of a crowded gym.That is to say,"," it is the smell of sweat, but it is different from the smell of sweat that is not because of the sweat of the body, but because of"
"The girl's facial expression was as clear as pea soup.That is to say,", it was a face that was full of disappointment
"The girl's facial expression was as clear as pea soup.That is to say,", she was not happy
"The girl's facial expression was as clear as pea soup.That is to say,", she was not happy at all
"The girl's facial expression was as clear as pea soup.That is to say,", she was really happy
"Raising a puppy is doing laps in a warm pool.That is to say,", you are doing it wrong
"Raising a puppy is doing laps in a warm pool.That is to say,", it's a lot of work
"Raising a puppy is doing laps in a warm pool.That is to say,", it's a lot of work
"Raising a puppy is doing laps in a warm pool.That is to say,", it's a lot of work
"His drive home was a party.That is to say,", he was driving his car with a smile on his face
"His drive home was a party.That is to say,", he was in a good mood
"His drive home was a party.That is to say,", he was drunk
"His drive home was a party.That is to say,", it was a drive home
"His conversation sounds like a broken record.That is to say,", it is the same as the one I have always heard
"His conversation sounds like a broken record.That is to say,", it sounds like a broken record
"His conversation sounds like a broken record.That is to say,", it's not just the same thing over and over again
"His conversation sounds like a broken record.That is to say,", it is not a conversation at all
"The child has the energy of a cheetah.That is to say,", he is a very energetic child
"The child has the energy of a cheetah.That is to say,", he's very fast and very quick
"The child has the energy of a cheetah.That is to say,"," he's a very lively, energetic, hyperactive child"
"The child has the energy of a cheetah.That is to say,", he is fast
"The military is as organized as a chessboard.That is to say,", it is not
"The military is as organized as a chessboard.That is to say,", the military is organized in such a way that every piece has a function
"The military is as organized as a chessboard.That is to say,", the military is as organized as a chessboard
"The military is as organized as a chessboard.That is to say,", it is highly organized
"His abs were marshmallows.That is to say,"," they were soft, but they were also chiseled and hard"
"His abs were marshmallows.That is to say,", they were perfect
"His abs were marshmallows.That is to say,"," they were soft and pliable, not hard and muscular"
"His abs were marshmallows.That is to say,", they were perfect
"The critic's review of the concert rang of A disapproving rant from an angry mother.That is to say,", it was a very angry review
"The critic's review of the concert rang of A disapproving rant from an angry mother.That is to say,"," the critic was not writing about the music and the performance, but about the conductor and the orchestra"
"The critic's review of the concert rang of A disapproving rant from an angry mother.That is to say,"," the critic was not happy with the performance, but of course, it was not a bad performance, it was just not what he wanted to hear"
"The critic's review of the concert rang of A disapproving rant from an angry mother.That is to say,", the critic's review was not a review at all
"A chemical reaction is like a ballroom dance.That is to say,"," if you want to change the ballroom dance, you have to change the dancers"
"A chemical reaction is like a ballroom dance.That is to say,", a chemical reaction is like a ballroom dance
"A chemical reaction is like a ballroom dance.That is to say,", it is a series of steps that are completed one after the other
"A chemical reaction is like a ballroom dance.That is to say,", it is a series of steps that are repeated over and over again
"He had funnels in his ears throughout the lecture.That is to say,", he had a pair of earplugs
"He had funnels in his ears throughout the lecture.That is to say,", he had a pair of ear-shaped funnels in his ears
"He had funnels in his ears throughout the lecture.That is to say,", he had earplugs
"He had funnels in his ears throughout the lecture.That is to say,", he had a pair of earphones in his ears
"The groom was feeling like a pig in mud.That is to say,", he was feeling like a pig in a mud puddle
"The groom was feeling like a pig in mud.That is to say,", he was feeling like a pig in mud
"The groom was feeling like a pig in mud.That is to say,", he felt like a pig in mud
"The groom was feeling like a pig in mud.That is to say,", he was feeling like a pig in mud
"This dog is as aggressive as a cotton ball.That is to say,", he is not aggressive at all
"This dog is as aggressive as a cotton ball.That is to say,", he has no aggression at all
"This dog is as aggressive as a cotton ball.That is to say,", it is the most harmless dog in the world
"This dog is as aggressive as a cotton ball.That is to say,", he is not aggressive at all
"The chair was a foundation.That is to say,", it was a foundation that was not in the shape of a chair
"The chair was a foundation.That is to say,", the chair was a foundation
"The chair was a foundation.That is to say,", the chair was a foundation for the body
"The chair was a foundation.That is to say,", the seat was a foundation
"he is as adventurous as a sofa bed.That is to say,", he is as adventurous as a sofa bed
"he is as adventurous as a sofa bed.That is to say,", he is not adventurous at all
"he is as adventurous as a sofa bed.That is to say,", he is a sofa bed with a man's body on it
"he is as adventurous as a sofa bed.That is to say,", he is not
"The girl's facial expression was as clear as a windowpane.That is to say,", she was not only surprised but also shocked
"The girl's facial expression was as clear as a windowpane.That is to say,", she was absolutely not happy
"The girl's facial expression was as clear as a windowpane.That is to say,", she was not in the least bit happy
"The girl's facial expression was as clear as a windowpane.That is to say,", she was looking at the sky
"She had all the honesty of a sinner at confession.That is to say,", she was a woman who was not at all accustomed to lying
"She had all the honesty of a sinner at confession.That is to say,", she had none
"She had all the honesty of a sinner at confession.That is to say,", she was a woman who had been wronged
"She had all the honesty of a sinner at confession.That is to say,", she was not a very good liar
"The child has the heart of stone.That is to say,", he has no heart at all
"The child has the heart of stone.That is to say,", it is difficult to see that the child will have any feelings for the parents
"The child has the heart of stone.That is to say,", the child has no heart
"The child has the heart of stone.That is to say,", the child has the heart of a stone
"The ball is a pea.That is to say,", it is a pea
"The ball is a pea.That is to say,", the ball is a pea
"The ball is a pea.That is to say,", it is a pea
"The ball is a pea.That is to say,", the ball is a pea
"The boy is as daring as a fawn.That is to say,", he is not afraid to speak his mind
"The boy is as daring as a fawn.That is to say,", he is as daring as a fawn
"The boy is as daring as a fawn.That is to say,"," he is a very young man, and he has not yet acquired the art of being timid"
"The boy is as daring as a fawn.That is to say,", he is not a coward
"His temper was a tempest.That is to say,", it was a tempest in a teapot
"His temper was a tempest.That is to say,", he was a very angry man
"His temper was a tempest.That is to say,"," he was a man who was easily provoked, and he was also a man who was quick to lose his temper"
"His temper was a tempest.That is to say,", he was the most temperate of men
"The man was as skinny as a broom.That is to say,", he was skinny
"The man was as skinny as a broom.That is to say,"," he was skinny, but not skinny like a broom"
"The man was as skinny as a broom.That is to say,", he had a skinny body
"The man was as skinny as a broom.That is to say,", he was skinny
"The conductor is a sculptor.That is to say,", he is a sculptor with a conductor's baton
"The conductor is a sculptor.That is to say,", he is a sculptor who is also a conductor
"The conductor is a sculptor.That is to say,"," he is a man who, in addition to being a conductor, is also a sculptor"
"The conductor is a sculptor.That is to say,", he is a sculptor who has a conductor's baton
"The villain is as beautiful as an angel in heaven.That is to say,", she is as beautiful as the angel of death
"The villain is as beautiful as an angel in heaven.That is to say,", the villain is as beautiful as an angel in heaven
"The villain is as beautiful as an angel in heaven.That is to say,", the villain is as beautiful as an angel in heaven
"The villain is as beautiful as an angel in heaven.That is to say,", he is as beautiful as a devil in hell
"That boy has the sense of Einstein.That is to say,", he has the sense of the world
"That boy has the sense of Einstein.That is to say,"," he has the sense of Einstein's parents, who are very rich and very famous"
"That boy has the sense of Einstein.That is to say,", he is not stupid
"That boy has the sense of Einstein.That is to say,", he has the ability to think in a completely different way from the rest of us
"It's as loud as the vacuum of space.That is to say,", it's loud enough to make you think that you can hear the vacuum of space
"It's as loud as the vacuum of space.That is to say,", it's really loud
"It's as loud as the vacuum of space.That is to say,", it's loud
"It's as loud as the vacuum of space.That is to say,", it's as noisy as the vacuum of space
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was not
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was not at all aggressive
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was very aggressive
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was very aggressive
"The job is as easy as learning nuclear fission.That is to say,"," it is easy to learn, but hard to do"
"The job is as easy as learning nuclear fission.That is to say,"," it's a job that's easy to learn, but hard to master"
"The job is as easy as learning nuclear fission.That is to say,", it is easy for a man to learn
"The job is as easy as learning nuclear fission.That is to say,", it is not easy at all
"The boy is a lumberjack.That is to say,", he is a boy who works in the woods
"The boy is a lumberjack.That is to say,", he is a lumberjack
"The boy is a lumberjack.That is to say,", he's a lumberjack
"The boy is a lumberjack.That is to say,", he is a boy who works with trees
"He has the attitude of the Grinch at Christmas.That is to say,", he is a very nasty man
"He has the attitude of the Grinch at Christmas.That is to say,", he is a total jerk
"He has the attitude of the Grinch at Christmas.That is to say,"," he is very, very good at what he does, but he is very, very bad at being nice to people"
"He has the attitude of the Grinch at Christmas.That is to say,", he is a very bad person
"The car ride was as smooth as paper.That is to say,", it was smooth as paper
"The car ride was as smooth as paper.That is to say,"," it was smooth, but it was also slow"
"The car ride was as smooth as paper.That is to say,"," the car ride was smooth, but the scenery was not"
"The car ride was as smooth as paper.That is to say,", it was smooth
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", the grading policy was flexible enough to allow the teacher to grade any student as he or she saw fit
