startphrase,ending1,ending2,labels,valid
Peanut butter and tomato ice cream is as appealing as strawberries in dog vomit.,Peanut butter and tomato ice cream is disgusting.,Peanut butter and tomato ice cream is appealing.,0,1
Peanut butter and tomato ice cream is as appealing as cold watermelon at a summer picnic.,Peanut butter and tomato ice cream is disgusting.,Peanut butter and tomato ice cream is appealing.,1,1
The football game was A trainwreck,Bad,Amazing,0,1
The football game was A dream come true,Bad,Amazing,1,1
The tv show was Like watching paint dry,Boring,Interesting,0,1
The tv show was Toe curling,Boring,Interesting,1,1
My bank account Is yelling at me,Spending too much money,A high balance,0,1
My bank account Is very nice.,Spending too much money,A high balance,1,1
Life of full journey Life of full journey,Life of full journey,Life of full journey,0,0
Life of full journey Life of full journey,Life of full journey,Life of full journey,1,0
Her love was as hot as a fire,She had a passionate love,Her love was bright and hot,0,0
Her love was as hot as the sun,She had a passionate love,Her love was bright and hot,1,0
The night was as long as a spool of thread,The night is long,The night dragged on,0,0
The night was as long as a winding road,The night is long,The night dragged on,1,0
They fought as often as cats and dogs,They fought naturally,The fought with familiarity,0,0
They fought as often as an old married couple,They fought naturally,The fought with familiarity,1,0
The story was an enthralling as a floor plan,The story was not enthralling,The story was enthralling,0,1
The story was an enthralling as a Stephen King book,The story was not enthralling,The story was enthralling,1,1
The day was as bright as a coal mine,The day was not bright,The day was bright,0,1
The day was as bright as ten high-beam headlights,The day was not bright,The day was bright,1,1
His illness was as serious as the funny papers,His illness was not serious,His illness was serious,0,1
His illness was as serious as an undertaker,His illness was not serious,His illness was serious,1,1
The story was as long as a road trip,it lasted forever,it was really short,0,1
The story was as long as a toenail,it lasted forever,it was really short,1,1
The poem was as funny as a comedian,it was hilarious,it wasn't funny at all,0,1
The poem was as funny as a funeral for twins,it was hilarious,it wasn't funny at all,1,1
The burger was as tasty as a buffett,it was great,it was nasty,0,1
The burger was as tasty as a dead mouse,it was great,it was nasty,1,1
He's probably an inch taller than a lightpole,He is tall,He is short,0,1
He's probably an inch taller than a leprachaun,He is tall,He is short,1,1
That water came straight from a glacier,"The water is cool, clean and crisp",The water is murky and nasty.,0,1
That water came straight from a backwoods creek,"The water is cool, clean and crisp",The water is murky and nasty.,1,1
He would be a great actor for homer simpson,He is not smart,He is smart,0,1
He would be a great actor for albert einstein,He is not smart,He is smart,1,1
That monster was as scary as the devil,That monster was scary,That monster was not scary,0,1
That monster was as scary as a bunny,That monster was scary,That monster was not scary,1,1
Those secrets were buried as deep as the Earth's core,The secrets were buried deep,The secrets were not buried deep,0,1
Those secrets were buried as deep as a pothole,The secrets were buried deep,The secrets were not buried deep,1,1
My odds are as high as a two-headed coin flip,My odds are certain,My odds are low,0,1
My odds are as high as the lottery,My odds are certain,My odds are low,1,1
The statement caused as much panic as a gun pointed at ones head,The statement caused panic,The statement caused no  panic,0,1
The statement caused as much panic as an ice cream cone,The statement caused panic,The statement caused no  panic,1,1
It was buried as deep as an oil well,It was buried deep,It was not buried deep,0,1
It was buried as deep as a bathtub,It was buried deep,It was not buried deep,1,1
In the morning he looked like Don Johnson in his prime,In the morning he looked good,In the morning he looked bad,0,1
In the morning he looked like Henny Youngman in his prime,In the morning he looked good,In the morning he looked bad,1,1
The more she cleans her house Like the smell of Lysol,She enjoys cleaning,She doesn't like cleaning up,0,1
The more she cleans her house Wishes she had a job,She enjoys cleaning,She doesn't like cleaning up,1,1
The flavor of the pastry reminded her of Homemade jam,The pastry tasted authentic,The pastry tasted artificial,0,1
The flavor of the pastry reminded her of Grape soda,The pastry tasted authentic,The pastry tasted artificial,1,1
The bouquet that she received was as pretty as A botanical garden,The bouquet was full and lush,The bouquet was dry and sparse,0,1
The bouquet that she received was as pretty as Rose stickers,The bouquet was full and lush,The bouquet was dry and sparse,1,1
Life of full journey Life of full journey,Life of full journey,Life of full journey,0,0
Life of full journey Life of full journey,Life of full journey,Life of full journey,1,0
The toddler has the cheerfulness of a million butterflies flying into the horizon,The toddler is really cheerful and happy,The toddler is really sad,0,1
The toddler has the cheerfulness of a deserted building,The toddler is really cheerful and happy,The toddler is really sad,1,1
The woman talking to the cashier has the audacity of a cheetah letting its prey bleed out,The woman is being assertive and rude to the cashier to get her way,The woman is too scared to speak up her wants to the cashier,0,1
The woman talking to the cashier has the audacity of a comatose lizard,The woman is being assertive and rude to the cashier to get her way,The woman is too scared to speak up her wants to the cashier,1,1
The monster has the fear factor of the devil being multiplied by a thousand,The monster is scary,The monster wouldn't be able to scare anyone,0,1
The monster has the fear factor of a puppy wearing a polkadot bikini,The monster is scary,The monster wouldn't be able to scare anyone,1,1
It was as hard as a stone.,It was very hard.,It was soft.,0,1
It was as hard as a pillow.,It was very hard.,It was soft.,1,1
It was shiny like glitter.,It was very shiny.,It was not shiny at all.,0,1
It was shiny like rust.,It was very shiny.,It was not shiny at all.,1,1
He was anxious like a lion.,He wasn't anxious at all.,He was very anxious.,0,1
He was anxious like a chihuaha.,He wasn't anxious at all.,He was very anxious.,1,1
The sauce had the richness of Bill Gates,The sauce had richness.,The sauce had no richness.,0,1
The sauce had the richness of a shelter occupant,The sauce had richness.,The sauce had no richness.,1,1
He was buried beneath a landfill,He was buried deeply.,He was buried shallowly.,0,1
He was buried beneath a sheet of paper,He was buried deeply.,He was buried shallowly.,1,1
His guilt was an elephant,He had a lot of guilt.,He had no guilt.,0,1
His guilt was an absentee,He had a lot of guilt.,He had no guilt.,1,1
That joke was as funny as falling off a building,That joke was not really funny at all,That joke was pretty funny,0,1
That joke was as funny as a Jim Carry movie,That joke was not really funny at all,That joke was pretty funny,1,1
That seminar instructor was sharp as round rock,That seminar instructor was not very intelligent,That seminar instructor was highly intelligent,0,1
That seminar instructor was sharp as a new razor blade,That seminar instructor was not very intelligent,That seminar instructor was highly intelligent,1,1
My father was as wise as an old elephant,My father was a very wise man,My father was a fool,0,1
My father was as wise as a court jester,My father was a very wise man,My father was a fool,1,1
You are being a cow,Someone is eating more than they should be.,Someone is acting like they will run off at any moment.,0,1
You are being a bird,Someone is eating more than they should be.,Someone is acting like they will run off at any moment.,1,1
You are a nazi,The person is acting mean and abusive.,The person is patient.,0,1
You are a saint,The person is acting mean and abusive.,The person is patient.,1,1
your multi-level-marketing salespitch is making me turn into a monster,The sales pitch is upsetting someone.,The sales pitch was persuasive.,0,1
your multi-level-marketing salespitch is making me turn into a partner,The sales pitch is upsetting someone.,The sales pitch was persuasive.,1,1
Sam is dumb as a box of rocks,Sam is not smart,Sam does not have a brain.,0,1
Sam is dumb as a cardboard house,Sam is not smart,Sam does not have a brain.,1,1
I could eat a horse,I am hungry,I am very hungry,0,0
I could eat the head off of a crocadile,I am hungry,I am very hungry,1,0
Hit the books,You need to study.,There is something you need to hide from,0,0
Hit the Pavement,You need to study.,There is something you need to hide from,1,0
That monk was so bald his head was as bright as the sun,The monk has a shiny bald head,The monk didnt have hair,0,0
That monk was so bald his head was as reflective as a mirror,The monk has a shiny bald head,The monk didnt have hair,1,0
Security cameras took pictures that were clear as day,The camera took great quailty pictures,The photos were easy to look at,0,0
Security cameras took pictures that were clear as a glass,The camera took great quailty pictures,The photos were easy to look at,1,0
I was waiting in this line for so long that is felt as if a century passed,The line isnt moving,Alot of time has passed while waiting in line,0,0
I was waiting in this line for so long that my kids grew up.,The line isnt moving,Alot of time has passed while waiting in line,1,0
The monk taught the children with the expertise of A poorly educated horse,The monk is a bad teacher,The monk is a great teacher,0,1
The monk taught the children with the expertise of Aristotle on a good day,The monk is a bad teacher,The monk is a great teacher,1,1
The picture of the city has the clarity of A window covered with frost,The picture is blurry and opaque,The picture is detailed and clear,0,1
The picture of the city has the clarity of An open window to a clear sunny day,The picture is blurry and opaque,The picture is detailed and clear,1,1
"To the patient, the past had the clarity of A forgotten dream",The patient does not remember the past,The patient remembers the past very well,0,1
"To the patient, the past had the clarity of A memory with the permanence of stone",The patient does not remember the past,The patient remembers the past very well,1,1
The monk's incantations were like booming thunder,The monk's incantations were loud.,The monk's incantations were quiet.,0,1
The monk's incantations were like a whispering wind,The monk's incantations were loud.,The monk's incantations were quiet.,1,1
The center of the pie was a block of ice,The pie was cold,The pie was hot,0,1
The center of the pie was molten lava,The pie was cold,The pie was hot,1,1
The pie's texture was like cardboard,The pie was dry,The pie was soggy,0,1
The pie's texture was like a wet rag,The pie was dry,The pie was soggy,1,1
The monk had the holiness of Jesus Christ reborn as the Pope,The monk was very holy,The monk lacked holiness,0,1
The monk had the holiness of Lucifer's misfit teenage daughter,The monk was very holy,The monk lacked holiness,1,1
"He lost all the money of his wife, his son, and his unborn grandchildren",He lost a lot of money,He lost no money,0,1
He lost all the money of the lint in his pockets,He lost a lot of money,He lost no money,1,1
The top had the spin of a drunk on a carnival ride,The top spun a lot,The top did not spin at all,0,1
The top had the spin of the pyramids in the desert,The top spun a lot,The top did not spin at all,1,1
Good judge of human Good judge of human,Good judge of human,Good judge of human,0,0
Good judge of human Good judge of human,Good judge of human,Good judge of human,1,0
Looking into the past is like walking with an old friend,"Looking into the past is nice, and reminiscent",Looking into the past is unpleasant,0,1
Looking into the past is like standing on lava,"Looking into the past is nice, and reminiscent",Looking into the past is unpleasant,1,1
Seeing that picture was like seeing trash,Seeing that picture unpleasant,Seeing that picture was a pleasant memory,0,1
Seeing that picture was like seeing your childs birth again,Seeing that picture unpleasant,Seeing that picture was a pleasant memory,1,1
The monks had the honor of a knight,The monks were very honorable,The monks were not honorable at all,0,1
The monks had the honor of a lawyer,The monks were very honorable,The monks were not honorable at all,1,1
The monk was as quiet as a creeping roach,the monk was silent,the monk was loud,0,1
The monk was as quiet as a barking dog,the monk was silent,the monk was loud,1,1
The picture was as clear as daylight,it was very easy to see,it was hard to see,0,1
The picture was as clear as the sky at midnight,it was very easy to see,it was hard to see,1,1
The past was as positive as a church on Sunday,it was good,it was awful,0,1
The past was as positive as a depressed man's bedroom closet,it was good,it was awful,1,1
Maintaining a friendship long distance is madness,It's difficult to maintain,It's well-structured to maintain,0,1
Maintaining a friendship long distance is discipline,It's difficult to maintain,It's well-structured to maintain,1,1
This song is a car wreck,The song is terrible,The song is wonderful,0,1
This song is heaven,The song is terrible,The song is wonderful,1,1
This turkey is a masterpiece,The turkey was done wonderfully,The turkey is dry,0,1
This turkey is the Sahara,The turkey was done wonderfully,The turkey is dry,1,1
Our group projects has us looking like the Harlem Globetrotters.,Our group projects keep winning contests.,Our group projects keep losing to others.,0,1
Our group projects has us looking like the Washington Generals.,Our group projects keep winning contests.,Our group projects keep losing to others.,1,1
Those guys behave like a bunch of hippos.,Those guys are acting really aggressive.,Those guys are acting really friendly.,0,1
Those guys behave like a bunch of Capybaras.,Those guys are acting really aggressive.,Those guys are acting really friendly.,1,1
That dog reminds us of Michael Myers.,That dog is quite scary.,That dog is fun-loving.,0,1
That dog reminds us Lucy Ricardo.,That dog is quite scary.,That dog is fun-loving.,1,1
Sandy had the tallness of Mount Everest,Sandy was tall,Sandy was short,0,1
Sandy had the tallness of a mouse.,Sandy was tall,Sandy was short,1,1
The plant is a baby rabbit,the plant is young,the plant is old,0,1
The plant is a dinosaur,the plant is young,the plant is old,1,1
The couch is a Mama Bear's bed,the couch is soft,the couch is hard,0,1
The couch is a Papa Bear's bed,the couch is soft,the couch is hard,1,1
These instructions are is as complex as a hedge maze,The instructions are difficult.,The instructions are not difficult.,0,1
These instructions are is as complex as a children's book,The instructions are difficult.,The instructions are not difficult.,1,1
The student was as brilliant as a famous philosopher of old.,The student was very smart.,The student was not very smart.,0,1
The student was as brilliant as a rock.,The student was very smart.,The student was not very smart.,1,1
The new mattress is just as comfortable as sleeping on a cloud.,The mattress is comfortable.,The mattress is not comfortable.,0,1
The new mattress is just as comfortable as sleeping on rocks outside.,The mattress is comfortable.,The mattress is not comfortable.,1,1
Life of full journey Life of full journey,Life of full journey,Life of full journey,0,0
Life of full journey Life of full journey,Life of full journey,Life of full journey,1,0
The candy was sweeter than true love,it was amazing,it was nasty,0,1
The candy was sweeter than expired milk,it was amazing,it was nasty,1,1
The bear was as evil as a beehive that's been slapped,it is vicious,it is harmless,0,1
The bear was as evil as a sleeping ladybug,it is vicious,it is harmless,1,1
The sky was as calm as a screaming toddler,it was intense,it was really mellow,0,1
The sky was as calm as a lake in the summer,it was intense,it was really mellow,1,1
The car has the look of stallion marching down Champs-Élysées.,The car looks nice and strong.,The car looks bad and weak.,0,1
The car has the look of retired donkey stumbling down the back alley.,The car looks nice and strong.,The car looks bad and weak.,1,1
I have the appetite of an elephant.,I can eat a lot.,I eat little.,0,1
I have the appetite of a chipmunk.,I can eat a lot.,I eat little.,1,1
Your wife has the look of a beautiful model.,Your wife is pretty.,Your wife is ugly.,0,1
Your wife has the look of Rocky Balboa after a fight.,Your wife is pretty.,Your wife is ugly.,1,1
The woman's to-do list is as long as an encyclopedia,The woman's to-do list is long.,The woman's to-do list is short.,0,1
The woman's to-do list is as long as a second,The woman's to-do list is long.,The woman's to-do list is short.,1,1
The grading policy was as rigid as a ballerina,The grading policy was not rigid.,The grading policy was very rigid.,0,1
The grading policy was as rigid as a log,The grading policy was not rigid.,The grading policy was very rigid.,1,1
The professor's ego was the size of the ocean,The professor had a massive ego.,The professor's ego was tiny.,0,1
The professor's ego was the size of a grain of sand,The professor had a massive ego.,The professor's ego was tiny.,1,1
She had the madness of a 19th century hat maker,She was quite insane,She was thinking very clearly,0,1
She had the madness of a monk after experiencing an epiphany,She was quite insane,She was thinking very clearly,1,1
The novel was as profound as a zombie watching Finger Family videos on YouTube,The novel wasn't at all profound,The novel was quite profound,0,1
The novel was as profound as a philosopher had died and returned to life,The novel wasn't at all profound,The novel was quite profound,1,1
He was as good a friend as Woody to Buzz Lightyear in the first half of Toy Story,He wasn't a very good friend,He was an excellent friend,0,1
He was as good a friend as Woody to Buzz Lightyear in every Toy Story after the first,He wasn't a very good friend,He was an excellent friend,1,1
The new coronavirus variant has the spread rate of a flu in a kindergarten class,The spread is very contagious,The spread is not that contagious,0,1
The new coronavirus variant has the spread rate of rabies,The spread is very contagious,The spread is not that contagious,1,1
The stock market looks bloody,The stock market is on a decline,The stock market is rising,0,1
The stock market looks healthy,The stock market is on a decline,The stock market is rising,1,1
The stock market has the volatility of cryptocurrency,The stock market is very volatile,The stock market is not volatile,0,1
The stock market has the volatility of bonds,The stock market is very volatile,The stock market is not volatile,1,1
Her mood is Shining as the break of dawn,Her mood is positive and warming,Her mood is poor and unstable,0,1
Her mood is Descending in a gaping void,Her mood is positive and warming,Her mood is poor and unstable,1,1
His anger is A devastating and fiery blaze,His anger is intense,His anger is mild,0,1
His anger is As the heat from a candle,His anger is intense,His anger is mild,1,1
This disease is A relentless curse,The disease is intensely painful,The disease is mild and numbing,0,1
This disease is A bland torment,The disease is intensely painful,The disease is mild and numbing,1,1
The movie is as interesting as disease of the mouth,the movie is awful and nobody would want it,the movie isn't great but in the end it's worth it,0,1
The movie is as interesting as sickness that keeps you in the hospital with a sexy nurse,the movie is awful and nobody would want it,the movie isn't great but in the end it's worth it,1,1
my wife's breast are as amazing as a beautiful sunrise,My wife's breasts are amazing to look at,My wife's breasts are amazing to touch,0,1
my wife's breast are as amazing as soft a pillow made out of a water bed,My wife's breasts are amazing to look at,My wife's breasts are amazing to touch,1,1
The car was as small as an old man's ballsack,the car was really small and ugly,the car was small but surprisingly spacious,0,1
The car was as small as an old man's penis when he has viagra and see my wife naked,the car was really small and ugly,the car was small but surprisingly spacious,1,1
Love is not smaller Love is not smaller,Love is not smaller,Love is not smaller,0,0
Love is not smaller Love is not smaller,Love is not smaller,Love is not smaller,1,0
The product's quality rating is that of A rating for rotten meat,The product's quality rating is bad,The product's quality rating is very good,0,1
The product's quality rating is that of A rating for a prize-winning stallion,The product's quality rating is bad,The product's quality rating is very good,1,1
The disease is predicted to have the magnitude of The Black Death in the Middle Ages,The disease is deadly and serious,The disease is minor and not serious,0,1
The disease is predicted to have the magnitude of A minor case of the sniffles,The disease is deadly and serious,The disease is minor and not serious,1,1
The speed of the running back is predicted to be As fast as a snail in molasses,The running back is thought to be slow,It's predicted that the running back will be very fast,0,1
The speed of the running back is predicted to be As fast as a cheetah on amphetamines,The running back is thought to be slow,It's predicted that the running back will be very fast,1,1
This town reminds me of the excitement I had going to Church.,The town is boring.,The town has exciting things to do.,0,1
This town reminds me of times I fooled around with my high school crush.,The town is boring.,The town has exciting things to do.,1,1
This spaghetti is full of flavor like I was eating ketchup.,This spaghetti is terrible.,This spaghetti is flavorful.,0,1
This spaghetti is full of flavor like I am swimming in a bed of gold.,This spaghetti is terrible.,This spaghetti is flavorful.,1,1
This car has the engine of a lawn mower.,This car has a small engine.,This car has a powerful engine.,0,1
This car has the engine of a F-15 fighter jet.,This car has a small engine.,This car has a powerful engine.,1,1
I'm hustling as fast as a cheetah,I'm husting fast,I'm moving slowly,0,1
I'm hustling as fast as a slug,I'm husting fast,I'm moving slowly,1,1
This disease is as deadly as a gunshot,This disease is deadly,This disease is not deadly at all,0,1
This disease is as deadly as a bee sting,This disease is deadly,This disease is not deadly at all,1,1
Your product is as resilient as metal,Your product is resilient,Your product is flimsy,0,1
Your product is as resilient as paper,Your product is resilient,Your product is flimsy,1,1
She was as rude as a comment on a YouTube video,She was very rude,She was anything but rude,0,1
She was as rude as a father to the bride on her wedding day,She was very rude,She was anything but rude,1,1
The dragon's breath had the feeling of a microwaved chili pepper,The dragon's breath felt hot,The dragon's breath felt cold,0,1
The dragon's breath had the feeling of a hailstorm in winter,The dragon's breath felt hot,The dragon's breath felt cold,1,1
The baby had the cuteness of Pikachu before he evolved,The baby was very cute,The baby was pretty ugly,0,1
"The baby had the cuteness of the Frog Prince from The Simpson's ""Treehouse of Horror XII""",The baby was very cute,The baby was pretty ugly,1,1
The product is A baby's first word,The product is newly innovative,The product is almost obsolete,0,1
The product is An old man's last gasp,The product is newly innovative,The product is almost obsolete,1,1
The disease is a Cinderella,The disease is mild,The disease is serious,0,1
The disease is a Nightmare on Elm Street,The disease is mild,The disease is serious,1,1
His hustle on the job is The movie Rudy,His hustle is inspiring,His hustle is slow,0,1
His hustle on the job is Golden Girls TV show,His hustle is inspiring,His hustle is slow,1,1
The boy was as fast as lightning,The boy was speedy,The boy was slow,0,1
The boy was as fast as a snail,The boy was speedy,The boy was slow,1,1
I slept like a log,I didn't move in my sleep,I sleep good,0,1
I slept like a baby,I didn't move in my sleep,I sleep good,1,1
Tommy was as sick as a dog,Tommy was very ill,Tommy was slow,0,1
Tommy was as fast as a snail,Tommy was very ill,Tommy was slow,1,1
That turkey was sent from heaven,The turkey tasted good.,The turkey tasted bad.,0,1
That turkey was sent from hell,The turkey tasted good.,The turkey tasted bad.,1,1
He has the comedic value of a SNL writer,He is really funny,He is not funny at all,0,1
He has the comedic value of a rock,He is really funny,He is not funny at all,1,1
Time goes by so fast at the DMV,Time feels like it is slow when at the DMV,Time feels like it is fast when I am at my girlfriend's house,0,1
Time goes by so fast at my girlfriend's house!,Time feels like it is slow when at the DMV,Time feels like it is fast when I am at my girlfriend's house,1,1
The man could see as well as an archer,The man had good eyesight,The man hard hard time seeing,0,1
The man could see as well as an old man,The man had good eyesight,The man hard hard time seeing,1,1
The blanket was as soft as a puppy,The blanket was soft,The blanket was rough,0,1
The blanket was as soft as an armadillo,The blanket was soft,The blanket was rough,1,1
The beer was as fresh as a new born baby,The beer was just made,The beer was old,0,1
The beer was as fresh as an aged wine,The beer was just made,The beer was old,1,1
The teams sent to eradicate the virus have the effectiveness of A broken umbrella in a rain storm,The teams are very ineffective,The teams are highly effective,0,1
The teams sent to eradicate the virus have the effectiveness of A varsity team playing against toddlers,The teams are very ineffective,The teams are highly effective,1,1
The missiles' ability to hit the target was as accurate as A blind man playing darts,The missiles are very inaccurate,The missiles are very accurate,0,1
The missiles' ability to hit the target was as accurate as William Tell going against a very large apple,The missiles are very inaccurate,The missiles are very accurate,1,1
The science presented at the conference had the depth of A wrinkle on a microscopic organism,The science is very shallow and simplistic,The science is very deep and profound,0,1
The science presented at the conference had the depth of The Marianas Trench,The science is very shallow and simplistic,The science is very deep and profound,1,1
The grass was a long flat emerald,The grass was pretty and green,"The grass was dirty, brown, and gross",0,1
The grass was a murky swamp,The grass was pretty and green,"The grass was dirty, brown, and gross",1,1
She had the figure of a 1920's model,She was very thing and pretty,She was very built and muscular,0,1
She had the figure of a brutish viking,She was very thing and pretty,She was very built and muscular,1,1
The symphopny was an explosion,The symphony was loud and bombastic,The symphony was repetitive and annoying,0,1
The symphopny was A loud summer cicada,The symphony was loud and bombastic,The symphony was repetitive and annoying,1,1
They have the grace of a car accident,They are not graceful,They are very graceful,0,1
They have the grace of a ballerina,They are not graceful,They are very graceful,1,1
your cooking is like drinking bleach,Your cooking is bad,your cooking is good,0,1
your cooking is like sleeping in on a Saturday,Your cooking is bad,your cooking is good,1,1
your friendship makes me feel like a pool of vomit,your friendship is a negative influence on my life,your friendship is a positive influence on my life.,0,1
your friendship makes me feel like I am wrapped in a soothing cocoon,your friendship is a negative influence on my life,your friendship is a positive influence on my life.,1,1
Emotional is very power Emotional is very power,Emotional is very power,Emotional is very power,0,1
Emotional is very power Emotional is very power,Emotional is very power,Emotional is very power,1,1
That group is an army,That group is large,That group is small.,0,1
That group is a clique,That group is large,That group is small.,1,1
The cake is a feather,The cake is light,The cake is heavy,0,1
The cake is a brick,The cake is light,The cake is heavy,1,1
The crowd is a thunderstorm The crowd is a whisper,The crowd is loud,The crowd is quiet,0,1
The crowd is a thunderstorm The crowd is a flurry.,The crowd is loud,The crowd is quiet,1,1
The groups are the open as A lockbox in a bank,The groups are very closed,The groups are very open.,0,1
The groups are the open as Las Vegas casino,The groups are very closed,The groups are very open.,1,1
The target is as close as Your nose,The target is nearby,The target is very far,0,1
The target is as close as The international space station,The target is nearby,The target is very far,1,1
Science is old as A newborn,Science is young,Science is old,0,1
Science is old as The grand canyon,Science is young,Science is old,1,1
The ball was as colorful as a bowl of cereal,it was vibrant,it was mundane,0,1
The ball was as colorful as a cloudy sky,it was vibrant,it was mundane,1,1
The warrior was as fierce as a lion,he was mean,he was nice,0,1
The warrior was as fierce as a kitten,he was mean,he was nice,1,1
The riot was as disruptive as a hurricane,it was crazy,it was harmless,0,1
The riot was as disruptive as a mouse with one leg,it was crazy,it was harmless,1,1
