startphrase,ending1,ending2,labels,valid,qid,index
The pug was lightning in dog form.,The dog is tired and has trouble breathing.,The dog has a ton of energy.,1,1,112,
That movie has the humor of a nun.,The movie is not funny.,The movie is very funny.,0,1,113,
That movie has the humor of a clown bus.,The movie is not funny.,The movie is very funny.,1,1,113,
The movie has a depth of A crater.,The movie has a deep meaning.,The movie is superficial.,0,1,115,
The movie has a depth of A crack.,The movie has a deep meaning.,The movie is superficial.,1,1,115,
The gambler thought his odds were as low as the ground.,His odds were low.,His odds were actually high.,0,1,119,
The gambler thought his odds were as low as the moon.,His odds were low.,His odds were actually high.,1,1,119,
The dancer was as graceful as a swan.,The dancer was graceful.,The dancer was boorish and uncoordinated.,0,1,120,
The dancer was as graceful as a honking goose.,The dancer was graceful.,The dancer was boorish and uncoordinated.,1,1,120,
He was as smart as A tree stump,The person is dumb,The person is a genius,0,1,125,
He was as smart as EINSTEIN,The person is dumb,The person is a genius,1,1,125,
The stock value was a geyser,The stock value increased.,The stock value stayed stagnant.,0,1,128,
The stock value was a puddle,The stock value increased.,The stock value stayed stagnant.,1,1,128,
The couch had all the comfort of a thornbush.,The couch was very comfortable.,The couch was not very comfortable.,0,1,131,
The couch had all the comfort of a grandma's hug.,The couch was very comfortable.,The couch was not very comfortable.,1,1,131,
The ballerina has all to grace of A club-footed drunk,The ballerina is clumsy,The ballerina is graceful,0,1,133,
The ballerina has all to grace of A swan gently swimming in a pond,The ballerina is clumsy,The ballerina is graceful,1,1,133,
The tennis match contained all the suspense of A boring and endless Monopoly game,The tennis match is tedious and boring,The tennis match is suspenseful and exciting,0,1,134,
The tennis match contained all the suspense of An Alfred Hitchcock movie,The tennis match is tedious and boring,The tennis match is suspenseful and exciting,1,1,134,
He is faithful as a church goer,he is good,he is bad,0,1,135,
He is faithful as a strip club VIP,he is good,he is bad,1,1,135,
The incense had the smell of a homemade apple pie after skipping lunch,The incense smelled quite good,The incense didn't smell good at all,0,1,138,
The incense had the smell of a wet dog wearing gym socks,The incense smelled quite good,The incense didn't smell good at all,1,1,138,
The girl had the thirst of a man after finishing a 128 oz slushie,The girl was not thirsty,The girl was very thirsty,0,1,139,
The girl had the thirst of a mid-'00s SUV after a short drive,The girl was not thirsty,The girl was very thirsty,1,1,139,
The backpack had the space of a school bus in the middle of the night,The backpack had a lot of space,There was little space in the backpack,0,1,140,
The backpack had the space of a school bus on a field trip to a pizza party,The backpack had a lot of space,There was little space in the backpack,1,1,140,
The coffee was as strong as an army,The coffee was very strong,The coffee was very weak,0,1,142,
The coffee was as strong as diluted milk,The coffee was very strong,The coffee was very weak,1,1,142,
The room was as dark as a pay phone,The room was very dark,"The room was not dark, but not well lit",0,1,143,
The room was as dark as a raincloud,The room was very dark,"The room was not dark, but not well lit",1,1,143,
The sun shined like a flame.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",0,1,144,
The sun shined like a burned-out bulb.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",1,1,144,
Christmas was as lively as a party.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",0,1,145,
Christmas was as lively as a morgue.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",1,1,145,
The movie has the thrill of a dentist's visit,The movie is dull.,The movie is exciting.,0,1,151,
The movie has the thrill of a carnival ride,The movie is dull.,The movie is exciting.,1,1,151,
The book plot has the novelty of an iPhone 4,The book plot is stale.,The book plot is really novel.,0,1,152,
The book plot has the novelty of a robot with feelings,The book plot is stale.,The book plot is really novel.,1,1,152,
"My shoulder hurts as much as stepping on a jagged, rusty nail",It hurts a lot,It barely hurts at all,0,1,153,
My shoulder hurts as much as getting hit with a silk pillow,It hurts a lot,It barely hurts at all,1,1,153,
The hostess is a dental drill.,The hostess is unpleasant.,The hostess is delightful.,0,1,156,
The hostess is a sweet potato pie.,The hostess is unpleasant.,The hostess is delightful.,1,1,156,
The wrinkle cream is an outhouse.,The wrinkle cream is disgusting.,The wrinkle cream is pleasant.,0,1,157,
The wrinkle cream is a purring kitten.,The wrinkle cream is disgusting.,The wrinkle cream is pleasant.,1,1,157,
She was gleaming like headlights,she was bright,she was dark,0,1,163,
She was gleaming like midnight,she was bright,she was dark,1,1,163,
This sand is as coarse as a silkworm's thread,It's not coarse at all,It's very rough,0,1,175,
This sand is as coarse as the discourse at a Thanksgiving dinner,It's not coarse at all,It's very rough,1,1,175,
The pool has the wetness of the planet Kamino,It's very wet,It's very dry,0,1,176,
The pool has the wetness of the planet Tatooine,It's very wet,It's very dry,1,1,176,
Quitting the job was as satisfying as an ice cream cone on a summer day,Quitting the job was totally satisfying.,Quitting the job gave no satisfaction.,0,1,180,
Quitting the job was as satisfying as a prickly rose bush,Quitting the job was totally satisfying.,Quitting the job gave no satisfaction.,1,1,180,
The music has the sound of a jackhammer,The music is loud,The music is soft,0,1,181,
The music has the sound of a baby bird,The music is loud,The music is soft,1,1,181,
The jacket has the feeling of sandpaper,The jacket is rough,The jacket is smooth,0,1,182,
The jacket has the feeling of butter,The jacket is rough,The jacket is smooth,1,1,182,
She was skilled like a scientist.,She was very skilled.,She was not at all skillful.,0,1,185,
She was skilled like a bum.,She was very skilled.,She was not at all skillful.,1,1,185,
His vision was as cloudy as the sky during a hurricane,It is hard to see through,it is clear,0,1,190,
His vision was as cloudy as a glass of water,It is hard to see through,it is clear,1,1,190,
She is as clumsy as an octopus on roller skates,she is a klutz,she is careful,0,1,191,
She is as clumsy as a squirrel in a tree,she is a klutz,she is careful,1,1,191,
The teacher had all the charisma of a leader,The teacher was charismatic,The teacher was foolish,0,1,195,
The teacher had all the charisma of a clown,The teacher was charismatic,The teacher was foolish,1,1,195,
The pie crust was as flaky as dandruff,The pie crust was totally flaky.,The pie crust was tough.,0,1,199,
The pie crust was as flaky as a lead block,The pie crust was totally flaky.,The pie crust was tough.,1,1,199,
The movie ending made as much sense as a pig in a pen,The movie ending made total sense.,The movie ending didn't make any sense.,0,1,200,
The movie ending made as much sense as a fish on a mountain,The movie ending made total sense.,The movie ending didn't make any sense.,1,1,200,
The ski slope is a dimple.,The ski slope is easy.,The ski slope is difficult.,0,1,202,
The ski slope is Cyrano De Bergerac's nose.,The ski slope is easy.,The ski slope is difficult.,1,1,202,
She was as free as a bird.,She was very free.,She wasn't free at all.,0,1,204,
She was as free as a zoo animal.,She was very free.,She wasn't free at all.,1,1,204,
She was as entertaining as a lecture.,She wasn't entertaining.,She was very entertaining.,0,1,205,
She was as entertaining as a television show.,She wasn't entertaining.,She was very entertaining.,1,1,205,
Getting the whole school evacuated in a raging fire is as easy as counting ten pennies,Getting the whole school evacuated in a raging fire is simple.,Getting the whole school evacuated in a raging fire is nearly impossible,0,1,207,
Getting the whole school evacuated in a raging fire is as easy as climbing the Swiss Alps.,Getting the whole school evacuated in a raging fire is simple.,Getting the whole school evacuated in a raging fire is nearly impossible,1,1,207,
The building is as well constructed as the straw house  the pigs built that the wolf blew down,The building is falling apart,The building is 100% safe,0,1,208,
The building is as well constructed as The brick house the wolf could not blow doen,The building is falling apart,The building is 100% safe,1,1,208,
The head of our country is as smart as a a turkey,The head of our country is very dumb.,The head of our country is very smart.,0,1,209,
The head of our country is as smart as an orangutang,The head of our country is very dumb.,The head of our country is very smart.,1,1,209,
The future is as bright as the sun,The future is bright,The future is not bright,0,1,211,
The future is as bright as ink,The future is bright,The future is not bright,1,1,211,
The cat had the fur of a Yeti,The cat was furry,The cat was not furry,0,1,215,
The cat had the fur of a baby's bottom,The cat was furry,The cat was not furry,1,1,215,
She thinks of herself as the mother of humanity.,She is self-righteous and entitled.,She is humble and respectful towards the different people.,0,1,223,
She thinks of herself as a particle of sand in the desert.,She is self-righteous and entitled.,She is humble and respectful towards the different people.,1,1,223,
He was as cautious as a mother with a newborn,he is careful,he is reckless,0,1,225,
He was as cautious as a drunk driver on the highway,he is careful,he is reckless,1,1,225,
The dog is as charming as a salesman,the dog is flattering,the dog is gross,0,1,226,
The dog is as charming as a sick racoon,the dog is flattering,the dog is gross,1,1,226,
The girl is as cheerful as a kid in a toy store,she is happy,she is sad,0,1,227,
The girl is as cheerful as a mom at a funeral,she is happy,she is sad,1,1,227,
The bathroom has the space of Neptune's orbit around the sun,The bathroom is spacious,The bathroom is cramped,0,1,230,
The bathroom has the space of an egg with a baby chicken in it,The bathroom is spacious,The bathroom is cramped,1,1,230,
Her beauty is like the vaquita.,Her beauty is quite rare.,Her beauty is pretty common.,0,1,231,
Her beauty is like the Peruvian anchoveta.,Her beauty is quite rare.,Her beauty is pretty common.,1,1,231,
The boys are feeling like burrowing shrews today.,The boys are very active today.,The boys are moving sluggish today.,0,1,232,
The boys are feeling like nurse sharks today.,The boys are very active today.,The boys are moving sluggish today.,1,1,232,
The disease was as serious as a funeral,The disease was very serious,The disease was not serious,0,1,234,
The disease was as serious as a hangnail,The disease was very serious,The disease was not serious,1,1,234,
The doctor was dressed like Liberace,The doctor was dressed well,The doctor was dressed poorly,0,1,235,
The doctor was dressed like a car repairman,The doctor was dressed well,The doctor was dressed poorly,1,1,235,
The reporter has the charisma of a sloth,The reporter is boring,The report is over excited,0,1,236,
The reporter has the charisma of a Jack Russel terrier,The reporter is boring,The report is over excited,1,1,236,
The wood floor is as slippery as a piece of sand paper,The floor is not slippery at all,The floor is super slippery.,0,1,238,
The wood floor is as slippery as a banana peel,The floor is not slippery at all,The floor is super slippery.,1,1,238,
The reporter was so high he could hunt ducks with a rake,The reporter was under the influence of drugs,The reporter was not drugged at all.,0,1,239,
The reporter was so high he could do differential equations with ease,The reporter was under the influence of drugs,The reporter was not drugged at all.,1,1,239,
The gorilla tape was sticky like melted chocolate bars in a wrapper.,The tape was gooey and unwilling to release,The tape was dry and fluffy,0,1,240,
The gorilla tape was sticky like dried mouse nest material.,The tape was gooey and unwilling to release,The tape was dry and fluffy,1,1,240,
"Death, the harvester of souls, waited outside the door like a drooling dog sitting at the base of a tree waiting for a squirrel.",Death was patiently waiting,Death ran around in every direction simultaneously.,0,1,241,
"Death, the harvester of souls, waited outside the door like a kindergarten class that ran out of Ritalin while in a puppy farm",Death was patiently waiting,Death ran around in every direction simultaneously.,1,1,241,
"On the field, the soccer player was a tornado","On the field, the soccer player was very aggressive.","On the field, the soccer player wasn't very impactful.",0,1,242,
"On the field, the soccer player was a light breeze","On the field, the soccer player was very aggressive.","On the field, the soccer player wasn't very impactful.",1,1,242,
The wine tasted of my lover's lips,The wine tasted great.,The wine tasted lousy.,0,1,246,
The wine tasted of old shoes,The wine tasted great.,The wine tasted lousy.,1,1,246,
The effects of the disease on her body was an earthquake,The effects were devestating,The effects were minimal,0,1,249,
The effects of the disease on her body was a raindrop,The effects were devestating,The effects were minimal,1,1,249,
The article from the reporter has the insights of A first grader's primer,The article is shallow and lacks depth,The article is deep and meaningful,0,1,251,
The article from the reporter has the insights of An expert journalist,The article is shallow and lacks depth,The article is deep and meaningful,1,1,251,
Her cheeks were the color of a delicate rose,Her cheeks were pink,Her cheeks were white,0,1,258,
Her cheeks were the color of chalk,Her cheeks were pink,Her cheeks were white,1,1,258,
He's busy as a beaver,He's busy.,"He's lazy, not busy at all.",0,1,261,
He's busy as a sloth,He's busy.,"He's lazy, not busy at all.",1,1,261,
The book is as thick as a board,The book is thick.,The book is thin.,0,1,262,
The book is as thick as piece of paper,The book is thick.,The book is thin.,1,1,262,
The man has the build of Hercules,The man is very muscular.,The man doesn't have any muscles.,0,1,264,
The man has the build of a third-grader,The man is very muscular.,The man doesn't have any muscles.,1,1,264,
The whale is as a mountain,The whale is enormous.,The whale is small.,0,1,266,
The whale is as a tadpole,The whale is enormous.,The whale is small.,1,1,266,
The computer is as fast as a fighter jet.,The computer is fast.,The computer is slow.,0,1,267,
The computer is as fast as a snail.,The computer is fast.,The computer is slow.,1,1,267,
He is as brave as a mouse,He is a coward,He is brave,0,1,269,
He is as brave as a lion,He is a coward,He is brave,1,1,269,
the dog was as friendly as a bunny,it was nice,it was mean,0,1,273,
the dog was as friendly as a snake,it was nice,it was mean,1,1,273,
Talking to him was like trying to corner a snake,He was duplicitous,He was dangerous,0,1,275,
Talking to him was like trying to corner a rabid dog,He was duplicitous,He was dangerous,1,1,275,
The stain was as dark as midnight,the stain was easy to point out,the stain was light,0,1,279,
The stain was as dark as noon,the stain was easy to point out,the stain was light,1,1,279,
The vase was as fragile as glass,The vase is fragile,The vase is resilient and not fragile,0,1,280,
The vase was as fragile as stone,The vase is fragile,The vase is resilient and not fragile,1,1,280,
The NBA star was a ballet dancer.,The NBA star was graceful.,The NBA star was clumsy.,0,1,290,
The NBA star was a lumberjack.,The NBA star was graceful.,The NBA star was clumsy.,1,1,290,
He knew her like a sister,He knew her very well,He didn't know her well.,0,1,293,
He knew her like a stranger,He knew her very well,He didn't know her well.,1,1,293,
It was as hot as a pile of snow.,It wasn't hot at all.,It was very hot.,0,1,295,
It was as hot as a desert.,It wasn't hot at all.,It was very hot.,1,1,295,
The book was as thick as a piece of tissue paper.,The book was very thin.,The book was very thick.,0,1,296,
The book was as thick as a brick.,The book was very thin.,The book was very thick.,1,1,296,
The girl's academic marks were as high as a skyscraper,The girl's academic marks were impressive.,The girl's academic marks were poor.,0,1,298,
The girl's academic marks were as high as a basement,The girl's academic marks were impressive.,The girl's academic marks were poor.,1,1,298,
Her interpretive dance has the depth of an unattended litter box,Her interpretive dance is shallow,Her interpretive dance is profound,0,1,304,
Her interpretive dance has the depth of a Steinbeck novel,Her interpretive dance is shallow,Her interpretive dance is profound,1,1,304,
The elderly cat has the energy of a throw pillow,The cat doesn't move,The cat is hyperactive,0,1,305,
The elderly cat has the energy of a class at recess,The cat doesn't move,The cat is hyperactive,1,1,305,
She was as attractive as Aphrodite,she was pretty,she was ugly,0,1,308,
She was as attractive as a mudfish,she was pretty,she was ugly,1,1,308,
The work was about as average as getting a 70 on a test,the work was average,the work was amazing,0,1,309,
The work was about as average as getting a perfect score on a test,the work was average,the work was amazing,1,1,309,
His words were a knife,they were violent and harsh,they were soft,0,1,310,
His words were a pillow,they were violent and harsh,they were soft,1,1,310,
The sky was as blue as the sea,The sky was blue,The sky was muggy and dark,0,1,312,
The sky was as blue as the mud,The sky was blue,The sky was muggy and dark,1,1,312,
The man was thin as a toothpick,The man was thin,The man was very large.,0,1,313,
The man was thin as a rhinoceros,The man was thin,The man was very large.,1,1,313,
His sacrifice showed he had a heart like a lion,His sacrifice was very bold,His sacrifice was timid and weak,0,1,314,
His sacrifice showed he had a heart like a mouse,His sacrifice was very bold,His sacrifice was timid and weak,1,1,314,
The outfit had Teddy looking about as nice as a three hundred dollar dinner,The outfit looked very fancy,The outfit looked very degrading,0,1,316,
The outfit had Teddy looking about as nice as a bum on the street,The outfit looked very fancy,The outfit looked very degrading,1,1,316,
The child was as smart as an encyclopedia,The child was very smart,The child was not smart,0,1,317,
The child was as smart as a house plant,The child was very smart,The child was not smart,1,1,317,
The water is as hot as the sun,The water is very hot,The water is freezing cold,0,1,319,
The water is as hot as an ice cube,The water is very hot,The water is freezing cold,1,1,319,
He is as smart as an Einstein,He is very smart,He is quite stupid,0,1,320,
He is as smart as a brick,He is very smart,He is quite stupid,1,1,320,
The house was a big as a palace,the house was big,the house was tiny,0,1,321,
The house was a big as a breadbox,the house was big,the house was tiny,1,1,321,
The government ran with the efficiency of a well-oiled machine,The government was very efficient.,The government was not efficient at all.,0,1,323,
The government ran with the efficiency of a sputtering engine,The government was very efficient.,The government was not efficient at all.,1,1,323,
The odds were as high as the sky.,The odds were very high.,The odds were very low.,0,1,324,
The odds were as high as a hole in the ground.,The odds were very high.,The odds were very low.,1,1,324,
The storm caused all the destruction of a blazing inferno.,The storm caused terrible devastation.,The storm barely did any damage at all.,0,1,325,
The storm caused all the destruction of a pillow fight.,The storm caused terrible devastation.,The storm barely did any damage at all.,1,1,325,
The lion has the confidence of Barney Fife.,The lion is a coward.,The lion is self assured.,0,1,328,
The lion has the confidence of Fidel Castro.,The lion is a coward.,The lion is self assured.,1,1,328,
She's as sweet as a candied yam,She's pretty swet,She's not sweet at all,0,1,329,
She's as sweet as a pickled egg,She's pretty swet,She's not sweet at all,1,1,329,
The government's welfare policy is as easy to read as an Apple privacy policy,The government's welfare policy is incomprehensible.,The government's welfare policy is really straightforward.,0,1,332,
The government's welfare policy is as easy to read as a grocery list,The government's welfare policy is incomprehensible.,The government's welfare policy is really straightforward.,1,1,332,
The letter was as heartwarming as an apple cider donut straight from the fryer,The letter was really heartwarming.,The letter wasn't heartwarming at all.,0,1,333,
The letter was as heartwarming as lemon juice,The letter was really heartwarming.,The letter wasn't heartwarming at all.,1,1,333,
The government is radioactive.,The government is dangerous.,The government will protect you.,0,1,341,
The government is a shield.,The government is dangerous.,The government will protect you.,1,1,341,
The ocean is an old friend.,The speaker loves the ocean.,The speaker fears the ocean.,0,1,343,
The ocean is a hunter.,The speaker loves the ocean.,The speaker fears the ocean.,1,1,343,
You're being as still as a statue.,You're being very still.,You're constantly moving.,0,1,345,
You're being as still as a hyperactive child on a sugar-rush.,You're being very still.,You're constantly moving.,1,1,345,
These chips are salty as the tears of a fangirl when her favorite band breaks up,It's very salty,It has no salt,0,1,349,
These chips are salty as potassium chloride,It's very salty,It has no salt,1,1,349,
The tree canopy has the shadow of a totem pole.,The tree canopy does not provide shade.,The tree canopy is shady.,0,1,350,
The tree canopy has the shadow of an eclipse.,The tree canopy does not provide shade.,The tree canopy is shady.,1,1,350,
Completing the homework assignment was like scaling Everest,Completing the homework assignment was hard.,Completing the homework assignment was easy.,0,1,354,
Completing the homework assignment was like wading in a kiddie pool,Completing the homework assignment was hard.,Completing the homework assignment was easy.,1,1,354,
The burrito is has the length of a whale,The burrito is long,The burrito is short,0,1,357,
The burrito is has the length of a lighter,The burrito is long,The burrito is short,1,1,357,
She is as elegant as a swan,she is graceful,she is clumsy,0,1,359,
She is as elegant as a drunk dog,she is graceful,she is clumsy,1,1,359,
she is as embarrassed as a kid that forgot homework,she is bashful,she is proud,0,1,360,
she is as embarrassed as a kid that got an A,she is bashful,she is proud,1,1,360,
His personality was as sparkling as A burned out lightbulb,He is a dull person,He us colorgul and explosive.,0,1,364,
His personality was as sparkling as JULY 4TH FIREWORKS,He is a dull person,He us colorgul and explosive.,1,1,364,
The You Tube tutorial was as informative as a blank sheet of paper.,The You Tube tutorial wasn't at all informative.,The You Tube tutorial was extremely informative.,0,1,369,
The You Tube tutorial was as informative as a graduate level physics class.,The You Tube tutorial wasn't at all informative.,The You Tube tutorial was extremely informative.,1,1,369,
The girl was as laidback as a picnic at the park,The girl was very laidback.,The girl was super uptight.,0,1,376,
The girl was as laidback as a black tie wedding,The girl was very laidback.,The girl was super uptight.,1,1,376,
The croissant has the delicacy of a Sumo wrestler.,The croissant is tough.,The croissant is light and airy.,0,1,379,
The croissant has the delicacy of a fly antennae.,The croissant is tough.,The croissant is light and airy.,1,1,379,
He was as frightened as a deer in headlights,he was scared,he wasn't scared,0,1,383,
He was as frightened as a bear in the woods,he was scared,he wasn't scared,1,1,383,
The puzzle was an insurmountable mountain.,The puzzle was very difficult.,The puzzle was easy.,0,1,388,
The puzzle was a short walk downhill.,The puzzle was very difficult.,The puzzle was easy.,1,1,388,
The defense's argument had the simplicity of a Byzantine mosaic.,The argument was complicated.,The argument was very simple.,0,1,392,
The defense's argument had the simplicity of a nursery rhyme.,The argument was complicated.,The argument was very simple.,1,1,392,
The pilot landed with the elegance of a dancing elephant.,The pilot landed roughly.,The pilot landed smoothly.,0,1,394,
The pilot landed with the elegance of a royal swan.,The pilot landed roughly.,The pilot landed smoothly.,1,1,394,
In his heart he felt the burning fires of separation,He felt passionate,He felt sad,0,1,395,
