HITId,AssignmentId,startphrase,ending1,ending2,labels,valid,qid
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3KWTYT0871DCW8DVRGKX9L0CXKNL5E,The voyage will be a walk through fire.,The voyage will be difficult and arduous.,The voyage will be pleasant.,0,1,46
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3KWTYT0871DCW8DVRGKX9L0CXKNL5E,The voyage will be a walk through flowers.,The voyage will be difficult and arduous.,The voyage will be pleasant.,1,1,46
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3KWTYT0871DCW8DVRGKX9L0CXKNL5E,"For him, earning money was oxygen.",Making money kept him alive.,Making money was killing him.,0,1,47
3B623HUYJ40F0JTTJLJZ97SAT21S8K,3KWTYT0871DCW8DVRGKX9L0CXKNL5E,"For him, earning money was a rope around his neck.",Making money kept him alive.,Making money was killing him.,1,1,47
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3AWETUDC9328DLPED1U069FFH2UZIO,The speaker was as quiet as a newborn baby.,The speaker was very quiet.,The speaker was actually rather loud.,0,1,49
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3AWETUDC9328DLPED1U069FFH2UZIO,The speaker was as quiet as a freight train.,The speaker was very quiet.,The speaker was actually rather loud.,1,1,49
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3AWETUDC9328DLPED1U069FFH2UZIO,The man was as cool as ice,The man was very cool.,The man wasn't cool at all.,0,1,50
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3AWETUDC9328DLPED1U069FFH2UZIO,The man was as cool as sunburn,The man was very cool.,The man wasn't cool at all.,1,1,50
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,34HJIJKLP66XWULPRF3TR2S0O9VV4D,The wedding planner was an imposter.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,0,1,51
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,34HJIJKLP66XWULPRF3TR2S0O9VV4D,The wedding planner was a magician.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,1,1,51
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OVR4I9USQT5RMP85G9JLFTS7IQQ4Q,The dancer moved like a butterfly,the dancer is graceful,The dancer is lead footed,0,1,54
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OVR4I9USQT5RMP85G9JLFTS7IQQ4Q,The dancer moved like a horse.,the dancer is graceful,The dancer is lead footed,1,1,54
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OVR4I9USQT5RMP85G9JLFTS7IQQ4Q,the pizza tastes like homemade,it's delicious,it's garbage,0,1,56
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OVR4I9USQT5RMP85G9JLFTS7IQQ4Q,the pizza tastes like yesterdays leftovers,it's delicious,it's garbage,1,1,56
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OUYGIZWR883SM6SM27S97D5L91P0T,The painting had the creativity of a bowl of oatmeal,The movie was really dull.,The movie was really creative.,0,1,61
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3OUYGIZWR883SM6SM27S97D5L91P0T,The painting had the creativity of a James Cameron movie,The movie was really dull.,The movie was really creative.,1,1,61
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3G0WWMR1UWURDUZENLOFKOZSYYCQNA,The child was as religious as a priest,The child was very religious,The child was not religious,0,1,63
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3G0WWMR1UWURDUZENLOFKOZSYYCQNA,The child was as religious as a sinner,The child was very religious,The child was not religious,1,1,63
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3G0WWMR1UWURDUZENLOFKOZSYYCQNA,The woman was as kind as a teacher,The woman was kind,The woman was cruel,0,1,64
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,3G0WWMR1UWURDUZENLOFKOZSYYCQNA,The woman was as kind as a prisoner,The woman was kind,The woman was cruel,1,1,64
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,35GMH2SV3FRKYC9LF9TS5WAJ56AEOK,The test is as easy as a Sunday  morning,the test is easy,the test is hard,0,1,70
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,35GMH2SV3FRKYC9LF9TS5WAJ56AEOK,The test is as easy as rocket science,the test is easy,the test is hard,1,1,70
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,35GMH2SV3FRKYC9LF9TS5WAJ56AEOK,She is happy as a clam,she is elated,she is mad,0,1,71
3DQYSJDTYLL451PJQYBM0P5OJK1XEW,35GMH2SV3FRKYC9LF9TS5WAJ56AEOK,She is happy as a bear that stepped on a thorn,she is elated,she is mad,1,1,71
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3K2755HG5TDL0TISKBZICKJKDSPDF9,The employee is sharp as a razor,The employee is smart.,The employee is dumb.,0,1,74
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3K2755HG5TDL0TISKBZICKJKDSPDF9,The employee is sharp as a bowling ball,The employee is smart.,The employee is dumb.,1,1,74
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3K2755HG5TDL0TISKBZICKJKDSPDF9,The tourist thought the bed at the hotel felt like velvet,The bed was soft.,The bed was hard.,0,1,76
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3K2755HG5TDL0TISKBZICKJKDSPDF9,The tourist thought the bed at the hotel felt like marble,The bed was soft.,The bed was hard.,1,1,76
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3DQQ64TANHVW0C7DF90DG2M9MELWP7,When the rubber hits the road. life gets real,things get intense,things get worse,0,1,77
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3DQQ64TANHVW0C7DF90DG2M9MELWP7,When the rubber hits the road. things go  down hill,things get intense,things get worse,1,1,77
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3UN61F00HXZNZ688W0HTVX9B30Q5RE,The pianist's performance was a game of whack-a-mole.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,0,1,79
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3UN61F00HXZNZ688W0HTVX9B30Q5RE,The pianist's performance was the weaving of an ornate Persian carpet.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,1,1,79
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3YZ8UPK3VUW0EJ94F4Z6EE252FQUCN,The girl's personality was as sweet as a grapefruit,The girl had a very surly personality.,The girl had a sweet personality.,0,1,82
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3YZ8UPK3VUW0EJ94F4Z6EE252FQUCN,The girl's personality was as sweet as a donut,The girl had a very surly personality.,The girl had a sweet personality.,1,1,82
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3YZ8UPK3VUW0EJ94F4Z6EE252FQUCN,The movie had as much meaning as a Hallmark card,The movie's meaning was frivolous.,The movie was laden with meaning.,0,1,83
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3YZ8UPK3VUW0EJ94F4Z6EE252FQUCN,The movie had as much meaning as the Bible,The movie's meaning was frivolous.,The movie was laden with meaning.,1,1,83
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3MB8LZR5BG3FERYYY3O3BAJUUXKLKB,The jazz solo sounded as smooth as silk,The jazz solo sounded nice and smooth,The jazz solo sounded rough and bad,0,1,85
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3MB8LZR5BG3FERYYY3O3BAJUUXKLKB,The jazz solo sounded as smooth as sandpaper,The jazz solo sounded nice and smooth,The jazz solo sounded rough and bad,1,1,85
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3MB8LZR5BG3FERYYY3O3BAJUUXKLKB,Her hangover made her feel like death,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,0,1,87
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3MB8LZR5BG3FERYYY3O3BAJUUXKLKB,Her hangover made her feel like a sunrise,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,1,1,87
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3WYP994K181SFBK8FEJSVZG82N06YR,The room was as open as a farm.,The room was very open.,The room wasn't open at all.,0,1,89
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3WYP994K181SFBK8FEJSVZG82N06YR,The room was as open as a city.,The room was very open.,The room wasn't open at all.,1,1,89
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3QECW5O0KIB0FLL00PMOVCATRO0T5Y,His joints have the crackle of a bowl of Rice Krispies,His joints are quite crackly,His joints do not crackle,0,1,92
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3QECW5O0KIB0FLL00PMOVCATRO0T5Y,His joints have the crackle of a pre-popped roll of bubble wrap,His joints are quite crackly,His joints do not crackle,1,1,92
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3QECW5O0KIB0FLL00PMOVCATRO0T5Y,The lightbulb is putting out the light of a massive forest fire on a dark night,The lightbulb is putting out a lot of light,The lightbulb is putting out no light,0,1,93
324N5FAHSXLFNCCYM5L7AZL8N6PVKB,3QECW5O0KIB0FLL00PMOVCATRO0T5Y,The lightbulb is putting out the light of a massive black hole in the darkness of space,The lightbulb is putting out a lot of light,The lightbulb is putting out no light,1,1,93
34R0BODSP19V3I59KSSR86E4QLS5EV,3COPXFW7XCM55CDWQVHASRSEZ7FKP2,The thrift store had the variety of a monochrome print.,The thrift store had a limited selection.,The thrift store had a varied selection.,0,1,95
34R0BODSP19V3I59KSSR86E4QLS5EV,3COPXFW7XCM55CDWQVHASRSEZ7FKP2,The thrift store had the variety of a dazzling tapestry.,The thrift store had a limited selection.,The thrift store had a varied selection.,1,1,95
34R0BODSP19V3I59KSSR86E4QLS5EV,3COPXFW7XCM55CDWQVHASRSEZ7FKP2,The doctor was a Norse villain.,The doctor was mean.,The doctor was kind and charming.,0,1,96
34R0BODSP19V3I59KSSR86E4QLS5EV,3COPXFW7XCM55CDWQVHASRSEZ7FKP2,The doctor was a fairytale prince.,The doctor was mean.,The doctor was kind and charming.,1,1,96
34R0BODSP19V3I59KSSR86E4QLS5EV,337RC3OW06CTU2SAX72ADJUBAWZVLH,The sound of the glass shattering was like Hiroshima,The sound was loud,The sound was quiet,0,1,98
34R0BODSP19V3I59KSSR86E4QLS5EV,337RC3OW06CTU2SAX72ADJUBAWZVLH,The sound of the glass shattering was like a lullaby,The sound was loud,The sound was quiet,1,1,98
34R0BODSP19V3I59KSSR86E4QLS5EV,337RC3OW06CTU2SAX72ADJUBAWZVLH,She was a bear at dinner,She ate a lot,She ate very little,0,1,99
34R0BODSP19V3I59KSSR86E4QLS5EV,337RC3OW06CTU2SAX72ADJUBAWZVLH,She was a mouse at dinner,She ate a lot,She ate very little,1,1,99
34R0BODSP19V3I59KSSR86E4QLS5EV,34S9DKFK74Z0MWQ0EV59XA2UX87NYQ,The armor was tough as iron,The armor was tough,The armor was breakable and weak,0,1,100
34R0BODSP19V3I59KSSR86E4QLS5EV,34S9DKFK74Z0MWQ0EV59XA2UX87NYQ,The armor was tough as glass,The armor was tough,The armor was breakable and weak,1,1,100
34R0BODSP19V3I59KSSR86E4QLS5EV,34S9DKFK74Z0MWQ0EV59XA2UX87NYQ,The toy was cared for like a baby,The toy was taken good care of,The toy was not cared for well at all.,0,1,102
34R0BODSP19V3I59KSSR86E4QLS5EV,34S9DKFK74Z0MWQ0EV59XA2UX87NYQ,The toy was cared for like trash,The toy was taken good care of,The toy was not cared for well at all.,1,1,102
34R0BODSP19V3I59KSSR86E4QLS5EV,3OVR4I9USQT5RMP85G9JLFTS7H44QG,The lawyer's negotiation tactics were like steel,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,0,1,103
34R0BODSP19V3I59KSSR86E4QLS5EV,3OVR4I9USQT5RMP85G9JLFTS7H44QG,The lawyer's negotiation tactics were like a fuzzy bathrobe,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,1,1,103
34R0BODSP19V3I59KSSR86E4QLS5EV,3RRCEFRB7NMINGNJMYCTQQYTLKSB46,The plastic plate shattered and looked like A spiderweb,It shattered into a lot of pieces.,It only shattered into 2 pieces.,0,1,106
34R0BODSP19V3I59KSSR86E4QLS5EV,3RRCEFRB7NMINGNJMYCTQQYTLKSB46,The plastic plate shattered and looked like A half moon,It shattered into a lot of pieces.,It only shattered into 2 pieces.,1,1,106
34R0BODSP19V3I59KSSR86E4QLS5EV,3RRCEFRB7NMINGNJMYCTQQYTLKSB46,The apartment was as high up as The empire State building observation deck.,The apartment was on the high floor.,The apartment was only a few floors up,0,1,107
34R0BODSP19V3I59KSSR86E4QLS5EV,3RRCEFRB7NMINGNJMYCTQQYTLKSB46,The apartment was as high up as A treehouse in the backyard,The apartment was on the high floor.,The apartment was only a few floors up,1,1,107
34R0BODSP19V3I59KSSR86E4QLS5EV,3OHYZ19UGDFH8ZS9Z4R69DKSKQVOAG,The man had the features of a Greek god,The man was very attractive,The man was goofy and ugly,0,1,110
34R0BODSP19V3I59KSSR86E4QLS5EV,3OHYZ19UGDFH8ZS9Z4R69DKSKQVOAG,The man had the features of a clown,The man was very attractive,The man was goofy and ugly,1,1,110
34R0BODSP19V3I59KSSR86E4QLS5EV,33C7UALJVM8ITJSTW49H1Q1P1YG81I,The pug was wheezing in dog form.,The dog is tired and has trouble breathing.,The dog has a ton of energy.,0,1,112
34R0BODSP19V3I59KSSR86E4QLS5EV,33C7UALJVM8ITJSTW49H1Q1P1YG81I,The pug was lightning in dog form.,The dog is tired and has trouble breathing.,The dog has a ton of energy.,1,1,112
34R0BODSP19V3I59KSSR86E4QLS5EV,33C7UALJVM8ITJSTW49H1Q1P1YG81I,That movie has the humor of a nun.,The movie is not funny.,The movie is very funny.,0,1,113
34R0BODSP19V3I59KSSR86E4QLS5EV,33C7UALJVM8ITJSTW49H1Q1P1YG81I,That movie has the humor of a clown bus.,The movie is not funny.,The movie is very funny.,1,1,113
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3NVC2EB65R9TISXQWCLUOW4OSQV3Y3,The movie has a depth of A crater.,The movie has a deep meaning.,The movie is superficial.,0,1,115
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3NVC2EB65R9TISXQWCLUOW4OSQV3Y3,The movie has a depth of A crack.,The movie has a deep meaning.,The movie is superficial.,1,1,115
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3QY5DC2MXSU7HVTE66P7MKN8ZSRFUS,The gambler thought his odds were as low as the ground.,His odds were low.,His odds were actually high.,0,1,119
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3QY5DC2MXSU7HVTE66P7MKN8ZSRFUS,The gambler thought his odds were as low as the moon.,His odds were low.,His odds were actually high.,1,1,119
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3QY5DC2MXSU7HVTE66P7MKN8ZSRFUS,The dancer was as graceful as a swan.,The dancer was graceful.,The dancer was boorish and uncoordinated.,0,1,120
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3QY5DC2MXSU7HVTE66P7MKN8ZSRFUS,The dancer was as graceful as a honking goose.,The dancer was graceful.,The dancer was boorish and uncoordinated.,1,1,120
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3NKQQ8O39ZFAJBFIF0UHYKKNNGJDUP,He was as smart as A tree stump,The person is dumb,The person is a genius,0,1,125
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3NKQQ8O39ZFAJBFIF0UHYKKNNGJDUP,He was as smart as EINSTEIN,The person is dumb,The person is a genius,1,1,125
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3R5F3LQFV3UI970HBW75Q6B1TBOZOE,The stock value was a geyser,The stock value increased.,The stock value stayed stagnant.,0,1,128
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3R5F3LQFV3UI970HBW75Q6B1TBOZOE,The stock value was a puddle,The stock value increased.,The stock value stayed stagnant.,1,1,128
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,30MVJZJNHNNP25R7RLL15MSMFEP9JP,The couch had all the comfort of a thornbush.,The couch was very comfortable.,The couch was not very comfortable.,0,1,131
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,30MVJZJNHNNP25R7RLL15MSMFEP9JP,The couch had all the comfort of a grandma's hug.,The couch was very comfortable.,The couch was not very comfortable.,1,1,131
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3P4MQ7TPPYM28F8S1DMGY44ZVFYBB7,The ballerina has all to grace of A club-footed drunk,The ballerina is clumsy,The ballerina is graceful,0,1,133
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3P4MQ7TPPYM28F8S1DMGY44ZVFYBB7,The ballerina has all to grace of A swan gently swimming in a pond,The ballerina is clumsy,The ballerina is graceful,1,1,133
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3P4MQ7TPPYM28F8S1DMGY44ZVFYBB7,The tennis match contained all the suspense of A boring and endless Monopoly game,The tennis match is tedious and boring,The tennis match is suspenseful and exciting,0,1,134
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3P4MQ7TPPYM28F8S1DMGY44ZVFYBB7,The tennis match contained all the suspense of An Alfred Hitchcock movie,The tennis match is tedious and boring,The tennis match is suspenseful and exciting,1,1,134
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3S3AMIZX3VFEXHYIT99H4EYHGGQCDS,He is faithful as a church goer,he is good,he is bad,0,1,135
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3S3AMIZX3VFEXHYIT99H4EYHGGQCDS,He is faithful as a strip club VIP,he is good,he is bad,1,1,135
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3OS46CRSLG9BBHP3A3W8O0CEK6ZV68,The incense had the smell of a homemade apple pie after skipping lunch,The incense smelled quite good,The incense didn't smell good at all,0,1,138
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3OS46CRSLG9BBHP3A3W8O0CEK6ZV68,The incense had the smell of a wet dog wearing gym socks,The incense smelled quite good,The incense didn't smell good at all,1,1,138
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3OS46CRSLG9BBHP3A3W8O0CEK6ZV68,The girl had the thirst of a man after finishing a 128 oz slushie,The girl was not thirsty,The girl was very thirsty,0,1,139
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3OS46CRSLG9BBHP3A3W8O0CEK6ZV68,The girl had the thirst of a mid-'00s SUV after a short drive,The girl was not thirsty,The girl was very thirsty,1,1,139
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3OS46CRSLG9BBHP3A3W8O0CEK6ZV68,The backpack had the space of a school bus in the middle of the night,The backpack had a lot of space,There was little space in the backpack,0,1,140
3IJ95K7NDXMXDL76UNE12QZ2UM6NGJ,3OS46CRSLG9BBHP3A3W8O0CEK6ZV68,The backpack had the space of a school bus on a field trip to a pizza party,The backpack had a lot of space,There was little space in the backpack,1,1,140
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3Y54SXRO1MVH00BF1QUW3O29Q1RTU6,The coffee was as strong as an army,The coffee was very strong,The coffee was very weak,0,1,142
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3Y54SXRO1MVH00BF1QUW3O29Q1RTU6,The coffee was as strong as diluted milk,The coffee was very strong,The coffee was very weak,1,1,142
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3Y54SXRO1MVH00BF1QUW3O29Q1RTU6,The room was as dark as a pay phone,The room was very dark,"The room was not dark, but not well lit",0,1,143
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3Y54SXRO1MVH00BF1QUW3O29Q1RTU6,The room was as dark as a raincloud,The room was very dark,"The room was not dark, but not well lit",1,1,143
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3LJ7UR74RINKOPCGPOH2HLYN27ZN4W,The sun shined like a flame.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",0,1,144
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3LJ7UR74RINKOPCGPOH2HLYN27ZN4W,The sun shined like a burned-out bulb.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",1,1,144
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3LJ7UR74RINKOPCGPOH2HLYN27ZN4W,Christmas was as lively as a party.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",0,1,145
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3LJ7UR74RINKOPCGPOH2HLYN27ZN4W,Christmas was as lively as a morgue.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",1,1,145
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3ZQIG0FLQFQ95W491L9CMUBR82HWVN,The movie has the thrill of a dentist's visit,The movie is dull.,The movie is exciting.,0,1,151
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3ZQIG0FLQFQ95W491L9CMUBR82HWVN,The movie has the thrill of a carnival ride,The movie is dull.,The movie is exciting.,1,1,151
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3ZQIG0FLQFQ95W491L9CMUBR82HWVN,The book plot has the novelty of an iPhone 4,The book plot is stale.,The book plot is really novel.,0,1,152
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3ZQIG0FLQFQ95W491L9CMUBR82HWVN,The book plot has the novelty of a robot with feelings,The book plot is stale.,The book plot is really novel.,1,1,152
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3TPZPLC3M1MZ9E5P5PPBB5BCOMH3P0,"My shoulder hurts as much as stepping on a jagged, rusty nail",It hurts a lot,It barely hurts at all,0,1,153
3UOMW19E6DGG6KLVO1MWIIE159F5C2,3TPZPLC3M1MZ9E5P5PPBB5BCOMH3P0,My shoulder hurts as much as getting hit with a silk pillow,It hurts a lot,It barely hurts at all,1,1,153
3UOMW19E6DGG6KLVO1MWIIE159F5C2,39ZSFO5CA96NMXFAPWGS1IF0S0VUJZ,The hostess is a dental drill.,The hostess is unpleasant.,The hostess is delightful.,0,1,156
3UOMW19E6DGG6KLVO1MWIIE159F5C2,39ZSFO5CA96NMXFAPWGS1IF0S0VUJZ,The hostess is a sweet potato pie.,The hostess is unpleasant.,The hostess is delightful.,1,1,156
3UOMW19E6DGG6KLVO1MWIIE159F5C2,39ZSFO5CA96NMXFAPWGS1IF0S0VUJZ,The wrinkle cream is an outhouse.,The wrinkle cream is disgusting.,The wrinkle cream is pleasant.,0,1,157
