startphrase,ending1,ending2,correct_label
The win was as satisfying as a bowl of chicken soup,The win was perfectly satisfying.,The win wasn't satisfying at all.,0
The blimp was as light as stone,The blimp was very light,The blimp was heavy,1
The book read like a secret note.,The book was easy to read.,The book was hard to read.,1
This dog is as aggressive as a cotton ball,it is mean,it is harmless,1
The dancer landed her jump with the grace of a seal,The dancer landed her jump gracefully.,The dancer landed her jump with a thud.,1
The bottle was as rare as dirt,The bottle was rare,The bottle was common,1
The man has the addiction of an alcoholic who's just discovered beer comes in not just cans but easily concealed bottles,The man's addiction is severe,The man's addiction isn't very bad,0
"The camel had the humps of Fergie as she depicts herself in the song ""My Humps""","The camel has big, mighty humps",The camel is flat and lacks humps,0
He was as sturdy as a brick house.,"He's resiliant, very sturdy.","He's not sturdy, in fact he's easily knocked down.",0
Her hair had the volume of a limp rag.,Her hair had a lot of volume.,Her hair lacked volume.,1
The water is as clear as coke,the water is clean,the water is dirty,1
The math test was as simple as boiling pasta,The math test was a cinch.,The math test was very difficult.,0
The bottle was thin like a brick wall.,The bottle was thin.,The bottle wasn't thin.,1
He has the morality of the snake in the Garden of Eden,He is very moral,He lacks morality,1
His fear was that of a farm pig facing down a bowl of slop,He had a lot of fear,He has no fear,1
My coffee is as hot as the center of the earth.,The coffee is hot,The coffee is not hot,0
The song has the melody of nails on a chalkboard.,The song has a beautiful melody.,The song has a very unpleasant melody and sound.,1
The dog has nerves of glass.,The dog is fearless and unbothered.,The dog is easily upset and scared.,1
The boss was as angry as a charging rhinoceros,The boss was vrey upset.,The boss was even-tempered.,0
The church has all the visitors of a McDonald’s on a Monday morning,The church has many visitors,There’s no one at the church,0
The church has all the visitors of a graveyard on the day after Halloween,The church has many visitors,There’s no one at the church,1
I'm as lively as a three year old before bedtime,I'm excited,I'm tired,0
That rose has the redness of a Paula Red apple,It is very red,It's not at all red,0
The CEO had the integrity of a politician,The CEO is dishonest,The CEO is honest,0
This actor has the dynamism of an electrical substation.,This actor is not dynamic.,This actor is extremely dynamic.,1
The floor has the sheen of a show dog's coat,"The floor is dull, not shiny at all.",The floor is luxuriously shiny.,1
"For the nation, their army was a a sword.",The army protected the country.,The army harmed other countries.,1
She has the artistry of Picasso.,She has impressive artistic skills.,She has no artistic skills.,0
The line move as fast as a scared cat.,The line moves quickly.,The line moves slowly.,0
He has the money of Mr. Magoo after mistaking a post-it notepad for his wallet,He has a lot of money,He has almost no money,1
The cat was as angry as an anthill,the cat was mad,The cat was docile,0
The student was a fox.,The student was unintelligent.,The student was sly.,1
The TV eats the electricity of an old wristwatch,It uses a lot of power,It draws very little power,1
This structure is as permanent as stone,The structure will last.,The structure will not last long.,0
He acted with the skill of a quack,He was skillful,He was unskilled,1
His drive home was a party.,His drive home was nice.,His drive home was not nice.,0
The well water has the pristineness of a toilet bowl.,The well water is foul.,The well water is pure and drinkable.,0
The soup was as spicy as cinnamon hots,The soup was fiery in flavor.,The soup wasn't spicy at all.,0
JON IS A HAS A MIND LIKE A SIEVE.,JON IS A FOOLISH PERSON.,JON IS A KNOWLEDGEABLE PERSON.,0
"To her, facts are like flagstones","To her, facts are confusing and hard to navigate in.","To her, facts are easily see and used to guide.",1
The movie has as much mystery as a piece of glass,The movie isn't mysterious at all.,The movie has a lot of mystery to it.,0
The film was as impressive as the Great Pyramids,The film was very impressive.,The film wasn't impressive at all.,0
Her skin is a colander,Her skin is pockmarked,Her skin is smooth,0
Her skin was a a carribean beach,Her skin was red and splotchy,Her skin was pale and clean,1
He has the unconsciousness of an owl in the middle of the night after five cups of coffee,He's completely unconscious,He's extremely conscious,1
The woman was the size of the branches of a whispering willow.,The woman was fat.,The woman was thin.,1
Their love is as deep as a thimble,They are madly in love,They're not in love,1
The painting is like a finding $100 on the street,The painting is tacky and commercial,The painting is surprisingly good,1
The painting is as random as a roll of dice,Anything goes; it is haphazard,It is well thought out and systematic,0
She had all the honesty of a sinner at confession.,She wasn't very honest.,She was very honest.,1
The girl had the speed of a fast-food line worker,The girl is fast.,The girl is slow.,0
The girl had the speed of a car in traffic,The girl is fast.,The girl is slow.,1
His argument is teflon.,His argument is weak.,His argument is strong.,1
Matt's girlfriend is the DMV.,Matt's girlfriend is fast.,Matt's girlfriend is slow.,1
After a workout he had as much energy as A wind up toy car.,He had a lot of energy.,He had very little energy.,1
His movements were liquid.,His movements were graceful and flowed.,His movements were not graceful.,0
This beach has the serenity of an eighty-year monk.,The beach was very serene.,The beach was not very serene.,0
"He was a d20 that always rolled a ""1.""",He was unlucky.,He was lucky.,0
The dirt road is a snake.,The dirt road is curvy.,The dirt road is straight.,0
My mind is a blank slate,My mind is empty.,My mind is full of thoughts.,0
She is like a snuggly bear.,She is comforting.,She is unapproachable.,0
He has all the rationality of the Joker from Batman comics,He lacks rationality,He's quite rational,0
His book was as hard to navigate as an Ikea,The book was hard to finish.,The book was easy to finish.,0
The man was as handsome as a physician in a white coat,The man looked sharp.,The man was plain-looking.,0
He's as ready as a steam engine.,He's fully ready.,He's not ready at all.,0
The pool's as shallow as a puddle,The pool is shallow.,The pool is very very deep.,0
She is as fast as a cheetah,She is slow.,She is speedy.,1
He hustles like rent was due three days ago.,He hustles hardcore.,He doesn't hustle at all.,0
The painter has the depth of a pot hole,The painter is deeply talented,The painter is untalented.,1
Her love was as valuable as The feseral reserve.,He cherished her love.,She was not worth much to him.,0
My brain is as clear as a bright desert morning,I can think clearly,I can't think clearly,0
He has all the anger of a volcanic eruption.,He has a lot of anger.,He does not have a lot of anger.,0
The worker has the discipline of a wise chess master,The worker had great discipline,The worker has little discipline,0
The sky is as clear as ink.,The sky is dark and cloudy.,The sky is bright and clear.,0
The play was as good as a elementary class' Thanksgiving play.,"The play had a depth of meaning, was both poetic and entertaining, and had the quality of something that would last.",The play was simplistic and lacked a serious artistic quality.,1
The racetrack was as slippery as carpet.,The track was very slippery.,The track was not slippery.,1
The event was as fancy as a backyard barbeque,The event was very fancy.,The event was very down to earth.,1
He floats like a fish.,He floats very well.,He doesn't float at all.,0
She and dogs go together like peanut butter and chocolate.,They go together really well.,They don't go together at all.,0
The sweater had the stripes of a horse wearing a polka dot shirt,The sweater had many stripes,The sweater was lacking in stripes,1
He was as sharp as a cat's claw,He was not very smart,He was very smart,1
She's as attractive as the backside of a wildebeest.,She is ugly.,She is beautiful.,0
Her house was clean like it had been cleaned by the servants of a violent king.,The house was meticulously clean.,The house wasn't clean at all.,0
The girl commanded as much respect as a dunce,The girl didn't command respect.,The girl was very well-respected.,0
He felt right as acid rain,He was feeling right,He was feeling wrong,1
The sex was a dead-on-arrival.,The sex was fantastic.,The sex was boring.,1
The businessman was as aggressive in negotiations as a secretary,The businessman went all out in negotiations.,The businessman was a timid negotiator.,1
The movie had the depth of A preschool curriculum,The movie is shallow.,The movie is thought provoking.,0
The movie has the depth of the roots of a daisy.,The movie is epic.,The movie lacks plot.,1
Jeremy drank down the ocean.,Jeremy could drink a lot.,Jeremy could not drink a lot.,0
The lawn mower has the power of Edward Scissorhands.,The lawn mower doesn't work well.,The lawn mower cuts efficiently.,1
The school was full of young monkeys.,The school was full of energetic children.,"The school was full of slow, lethargic children.",0
The writer was about as quiet as a cricket on a summer night,The writer is very quiet,The writer is noisy,1
The movie has the depth of the brain function of the president of the Flat Earth Society,The movie is boring,The movie is profound,0
Her presence at the wedding was as expected as a nudist at a Baptist tent revival,Her presence at the wedding was unexpected,Her presence at the wedding was very expected,0
This court trial is as fair as playing chess with a robot.,The court trial is unfair.,The court trial is very fair.,0
His new job is as easy as climbing a cliff with one arm.,His new job is very easy,His new job is very hard.,1
The meal was like a horror movie,The meal was invigorating,The recipient dreaded what came next while eating,1
The high student has as many things on her to-do list as a business executive,The high school student has a to-do list that's packed.,The high school student doesn't have much on her to-do list.,0
His new car has as much power as Chernobyl today.,The car has lots of power.,The car is so low in power it's not working.,1
Legal professions are as appealing as counting sand grains on a beach,Legal professions are tedious,Legal professions are exciting,0
She's got the anger of a sleeping little lamb,She's very angry,She's quite calm,1
He's got the swimming ability of a pack of dolphins,He can swim well,He isn't good at swimming,0
Fame is as fleeting as A mosquito life span,Fame expires quickly,Fame lasts a long time,0
Ex friends calling you are as transparent as skyscraper glass windows.,You can see through old friends contact attempts,You have no idea why old friends contact you,0
He's felt that he was on top of a garbage pile.,He was really happy.,He's was sad.,1
That party lasted as long as a pickle and olive pie at a dessert table,The party lasted a short amount of time,The party lasted a long time,1
The sixth grader's homework assignment was as easy as making a sandwich,The sixth grader's homework assignment was a cinch to complete.,The sixth grader's homework assignment was very difficult to complete.,0
His anger was as visible as a meteor heading straight for earth,It was very clear that he was angry,His anger was very well hidden,0
The party was as grand as a book club meeting,The party was large and full of excitement,The party was uninteresting,1
The girl was as bubbly as still water,The girl was vivacious.,The girl was bland.,1
The man's personality was as volatile as a charging hippo,The man was often angry.,The man was laidback.,0
His brain was made of curving winding roads leading into dark woods.,He is really efficient and thinks in a straightforward way.,He tends to get distracted.,1
Jeremy was a wet blanket on a cold day.,Jeremy was comforting.,Jeremy was not comforting.,1
He had the class of an aristocrat from an old novel,He had a lot class,He had little class,0
It was as melodious a colicky baby,It was melodious.,It was not melodius.,1
The kids have as much energy as Olympic athletes,The kids have tons of energy.,The kids don't have any energy at all.,0
He has the nose of an elephant with a sinus infection,His nose is good looking,His nose looks ugly,1
The word meaning was as clear as Molasses,The meaning was clear,The meaning was murky,1
The car was as shiny as Concrete.,The car had a lot of shine.,The car was dull.,1
His father was a pillar.,His father was really reliable.,His father was not reliable.,0
She was sleepy like a baby,She was sleepy,She was not sleepy,0
He's talks like a a hungover DMV employee.,He talks really fast.,He talks really slowly.,1
The razor has the cutting power of a cartoon cat's claws,The razor cuts well,The razor can barely cut at all,0
The lion has the pouncing power of a dog with no legs,The lion has a lot of pouncing ability,The lion cannot pounce,1
She has the personality an A fannypack,She is boring and lame,She is colorful and fun,0
The man was as skinny as a sumo wrestler,The man was skinny,The man was fat,1
My friend is as loyal as a pack of hyenas.,My friend is a backtabber.,My friend would take a secret to the grave.,0
The car ride was as smooth as paper,The car ride went very smoothly.,The car ride was very bumpy.,0
Jane was a friend as good as The smell of stale cigarette smoke.,Jane was a comforting friend.,Jane was stagnant as a friend.,1
The architect's building design was as inspiring as a Soviet apartment block,The architect's building design was unoriginal,The architect's building design was a masterpiece,0
I was as hungry as a man after Thanksgiving dinner.,I was famished.,I was full.,1
The girl is as reliable as an SUV,The girl can definitely be relied upon.,The girl isn't reliable at all.,0
He produces like a one-man factory.,He's very productive.,He's not productive at all.,0
The movie has the excitement of visiting a budget petting zoo,The movie is very exciting,The movie is pretty dull,1
The blanker provides the warmth of an open refrigerator,The blanket provides a lot of warmth,The blanket provides little warmth,1
School is a prison,School is rowdy and entertaining,School is full of restraint,1
The girl's facial expression was as clear as pea soup,The girl's facial expression was somewhat murky.,The girl's facial expression was obvious.,0
The book plot was as straightforward as uncombed hair,The book plot was very straightforward.,The book plot was very twisted.,1
The gambler had the luck of a black cat walking under a ladder.,The gambler was lucky,The gambler was unlucky.,1
The lion has the roar of mosquito flying down a busy street,The lion's roar is loud,The lion's roar is bately audible,1
The washing machine has the cleaning ability of a fully rested man with OCD in a dirty room,The washing machine cleans very well,The washing machine leaves behind a lot of filth,0
The washing machine has the cleaning ability of a college kid with a hangover,The washing machine cleans very well,The washing machine leaves behind a lot of filth,1
The office environment was as sterile as a dental hygienist's equipment,The office environment was totally dull.,The office environment was full of life.,0
She swam like a cat.,She didn't swim well.,She swam very well.,0
He was as smooth as butter.,He was very smooth.,He wasn't smooth at all.,0
The gossip was as juicy as a sandbox,The gossip was entertaining,the gossip was boring,1
That cake is as moist as H20,The cake is dry,The cake is not dry,1
The ice cream was as tasty as Cheesecake,The ice cream is bland,The ice cream is flavorful,1
The diamond on the engagement ring is the size of an atom,The diamond on the engagement ring is huge.,The diamond on the engagement ring is barely visible.,1
Inflation is as high as the mariana trench.,Inflation is very low.,Inflation is very high.,0
Inflation is as high as the clouds.,Inflation is very low.,Inflation is very high.,1
The book's plot was as twisted as a parade of soldiers,The book's plot was all over the place.,The book's plot followed a linear fashion.,1
He's as country as Texas.,He's very country.,He's not very country at all.,0
Her eyes were blue as a muddy pond,Her eyes were a clear blue,Her eyes were muddy and brown,1
The officer has the training of a newborn goldfish,The officer is well trained,The officer has little training,1
He has the villainy of Hitler on methamphetamine,He is quite the villain,He's not very villainous,0
The driveway is a mirror.,The driveway is bumpy.,The driveway is smooth.,1
His head was filled with molasses.,He wasn't very bright.,He was very smart and had a lot of good ideas.,0
The toothbrush has the firmness of a brown banana,The toothbrush is very firm,The toothbrush lacks firmness,1
My depression these days is like a close friend.,The speaker hates their depression but has not had to deal with it in a while.,The speaker deals with their depression so constantly that they have grown used to it.,1
His depression was a gaping hole inside his heart.,His depression weighed deeply inside of him and left him feeling alone.,Everyone in the room was aware of his depression and getting warning signs from it.,0
you're about as skinny as a pig,you are very skinny,you are fat,1
The process has the complexity of Intricate clockwork,The process is simple,The process is complex,1
The night was as rowdy as a senior home,The night was very rowdy.,The night was very dull.,1
His heart is as light as a feather.,He is guilt free and happy,He is cold and heartless,0
Her sight is as good as a mole,Her sight is excellent,Her sight is terrible.,1
His life lasted as long as a tortoise.,His life lasted only a short amount of time.,His life lasted a very long time.,1
The security team is effective as fighting a wildfire with a watergun,The security team is useless,The security team is very effective,0
The movie plot was as intricate as A child's first toy,The movie plot was convoluted,The movie plot was simple.,1
This guy has the pleasantness of a tiger,This guy is nice,This guy is rude,1
The military is as organized as a chessboard.,The military is very organized.,The military is not organized at all.,0
The running dog is A stranger on the street,The running dog is man's best friend,The running dog avoids people,1
The girl's life was as dramatic as the ocean at low tide,The girl's life was bland.,The girl's life was full of drama.,0
George moved like a chicken with its head cut off,George was very focused,George lacked proper focus in the way he conducted himself,1
The board game requires the strategy of an embryo turned newborn,The board game requires a lot of strategy,The board game requires almost no strategy,1
The food has all the flavor of dried sugar-free oatmeal,The food has a ton of flavor,The food is pretty bland,1
This house is made out of diamond,"The house is flimsy, and could fall apart easily.",The house is durable and resistent to damage/the elements.,1
The assignment was as clear as chocolate pudding,The assignment was hard to understand.,The assignment was easy to understand.,0
He was as inconspicuous as a peacock,He was very inconspicuous,He was highly conspicuous and noticeable.,1
The quarterback put forth the effort of A weak infant,The quarterback did not try hard,The quarterback put forth great effort,0
The relationship between Democrats and Republicans is that over a couple married for 50 years.,Democrats and Republicans do not get along.,Democrats and Republicans tolerate each other.,1
This person has the warmth of a desert,The person is kind.,The person is unkind.,0
The song is as deep as the sea,The song is superficial,The song is heartfelt,1
That person is as useful as a multi-tool.,The person's presence has no value.,The person is quite resourceful and helpful.,1
The phone is as loud as a fog horn,The phone is very quiet,The phone is very loud,1
The boy moves as swiftly as a minnow swimming downstream,The boy moves with great swiftness.,The boy is very slow.,0
That man's about as deep as the Mediterranean sea.,That man is not deep at all.,That man is very deep.,1
Things around here are about as orderly as a gulag.,Things around there are not orderly at all.,Things around there are extremely orderly.,1
I've got the memory of an amoeba.,The person has a great memory.,The person has a really bad memory.,1
The pillow was as soft as a cement slab,The pillow was soft,the pillow was hard,1
He was as slimy as a puppy,He was someone who couldn't be trusted,He was someone you could trust,1
He is as mean as Mother Teresa,He is mean,He is kind,1
The girl left a mark as indelible as a pencil,The girl left a huge impact.,The girl's impact was minimal.,1
Cats are scratches come to life.,Cats are violent.,Cats are friendly.,0
The task group worked at the rate of A bolt of greased lightening,The group worked slowly,The group worked fast,1
The teacher was as successful in her occupation as a lame-duck President.,"The teacher was inventive, at the forefront of her occupation, and highly successful.","The teacher was unsuccessful, basically useless in getting anything accomplished.",1
Those two get along like a cold and vitamin-C.,They get along really poorly,They get along really well.,0
Those individuals are a bunch of snowflakes,The individuals are homogenous,The individuals are unique,1
The pudding tastes like A chocolate ocean.,The pudding is not at all edible,The pudding is delicious,1
The grass was the green of puke,The grass was healthy and bright green,The grass was dying and ugly green,1
The air felt like knives against her skin,the air was so freezing it hurt,the air was hot and humid,0
The panda has the spots of a rubber duck,The panda is very spotted,The panda lacks spots,1
This life is a raging storm,This life is a crazy place to live in.,"This life is filled with good and bad things, happy and sad moments.",0
The park has all the appeal of a free triple scoop ice cream cone on a hot day.,The park is disgusting.,The park is enticing.,1
The girl moved as fast as a cheetah,The girl was quick,The girl was slow,0
This cup had the filth of the Great Pacific garbage patch,It is quite dirty,It's clean as can be,0
The fruit has the blueness of a depressed painter's canvas,Th fruit is very blue,The fruit isn't blue at all,0
The girl's head is a balloon,The girl is ignorant.,The girl is very knowledgeable.,0
He had the energy of a powerline,He had lots of energy,He didn't have much energy,0
The episode has the depth of the mariana trench.,The episode is boring.,The episode is interesting.,1
The inflation rate these days is a pig in a pen,Inflation has gotten out of control.,Inflation is under control.,1
The interns are as common as kitchen sinks,There are tons of interns.,There aren't that many interns.,0
Her wit was a sharp as a tack,She was extremely witty.,She was dull at the best of times.,0
The fortress was as impenetrable as a wall,The fortress was well defended and reinforced.,The fortress was easily breached.,0
The horse has the staying power of a three-legged dog.,The horse has little endurance.,The horse has lots of endurance.,0
The opera's plot has the solidity of a brass ingot.,The opera's plot has many holes.,The opera's plot is integral.,1
This bag is as light as a party balloon,The bag is nearly weightless,The bag is extremely heavy,0
This place is as hot as Syberia in winter,This place is so hot it could burn you,This place is actually extremely cold,1
Her hair is A waterfall,Her hair is reflective and shiny,Her hair is dry and lifeless,0
The temperature feels like outer space,The temperature is extremely hot,The temperature is freezing cold,1
This tree is as tall as the space needle,The tree is very tall,The tree is not tall at all,0
The departmental store manager has a golden heart,The departmental store manager is kind and friendly.,"The departmental store manager is unfriendly, cruel and unkind",0
The Brain is a Prism,brain is hypersensitive and connects many things.,brain take one input and gives multiple output.,1
He is as loud as an elephant carrying a piano,He is quiet,He is loud,1
This water is as clear as the La Brea Tar Pits,The water is very murky,The water is very clear,0
Riding a motorcycle is as dangerous as walking down the street,Riding a motorcycle is very dangerous,Riding a motorcycle isn't any more dangerous than doing normal everyday things.,1
The fortress had the strength of a new born baby,The fortress was very strong,The fortress was very weak,1
The witness is like Like an old broom,They know about all the dirt,They don't give up anything easily,0
The soldiers thought the war was as fun as a page from an adventure comic,"The war was fun, fanciful, and enjoyable.","The war was not fun, hard, and mind-numbing",0
That man has the laughter of a mouse,It's a very loud and deep laugh,It's barely audible and high-pitched,1
The event planning hit several storms in the process,The planning ran into several problems,The planning was easy and without issue,0
He should be back before the sun implodes,He will be back quickly,He will be back slowly,1
The crowd's reaction to the performance fizzled like fireworks,The crowd was enthusiastic,The crowd was unenthusiastic,0
The pilot flew like a ballet dancer,The pilot flew in a restrained way,The pilot flew in a creative way,0
He had the air of a church leader,People were intimidated by him,People were not intimidated by him,1
Vanity is the tailwind of reason,Vanity destroys reason,Vanity motivates reason,1
The movie has the depth of a wading pool,The movie is profound,The movie is vapid,1
Even a monkey falls from a tree sometimes,Experts can fail sometimes,Novices can succeed sometimes,0
Time is a river,You can't change the future,You can change the future,1
The bar is a cat's jump away,The bar is far away,The bar is close by,1
He had funnels in his ears throughout the lecture,He did pay attention,He did not pay attention,0
The conference had a rivulet of submission,There were few submissions,There were many submissions,0
She's about as sharp as a knife,She is smart,She is dimwitted,0
Her gaze is a disco ball,Her gaze is focused,Her gaze is diffuse,1
The foundation of the argument was puff pastry,The argument was sound,The argument was unsound,1
She is as dull as a knife,She is intelligent,She is unintelligent,0
She is as dull as a spoon,She is intelligent,She is unintelligent,1
The atom is like a cloud,Electrons orbit the nucleus,Electrons are in probability densities,1
The patient's blood vessels are a closet hallway,Blood is flowing smoothly,Blood is being blocked,1
The nuclear reaction happened like falling dominoes,There were multiple steps to the reaction,The reaction happened all at once,0
The camera is a cyclops,The camera has one lens,The camera has multiple lenses,0
The current is morse code,The current is continuous,The current is discrete,1
